paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
db9e03aacebc951b9ab95427e2d795e643d11334,"{'DOI': '10.1109/ICWR69602.2026.11513332', 'CorpusId': 288188545}",,The Application of Graph Neural Networks in Brain Disorders: A Bibliometric Analysis,2026,34,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICWR69602.2026.11513332?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICWR69602.2026.11513332, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2026 12th International Conference on Web Research (ICWR)', 'pages': '135-142'}","{'bibtex': '@Conference{Alavi2026TheAO,\n author = {Meysam Alavi and Arefeh Valiollahi and Mansooreh Pakravan},\n booktitle = {2026 12th International Conference on Web Research (ICWR)},\n journal = {2026 12th International Conference on Web Research (ICWR)},\n pages = {135-142},\n title = {The Application of Graph Neural Networks in Brain Disorders: A Bibliometric Analysis},\n year = {2026}\n}\n'}","[{'authorId': '38998790', 'name': 'Meysam Alavi'}, {'authorId': '2219602578', 'name': 'Arefeh Valiollahi'}, {'authorId': '51057546', 'name': 'Mansooreh Pakravan'}]","Graph Neural Networks (GNNs) are deep learning models specifically developed to handle graph-structured data, and they have been extensively used in areas including social networks, physical systems, financial modeling, and molecular analysis. In recent years, GNNs have also demonstrated significant potential in medical applications, particularly in the diagnosis and monitoring of neurological disorders, by enabling the modeling of complex spatial and topological relationships in brain networks that conventional neural networks cannot effectively capture. Given the rapid growth of research on GNN-based neuroimaging applications, a systematic bibliometric analysis is essential to identify research trends, influential contributions, and emerging opportunities. Bibliometric analysis provides a quantitative approach to mapping the intellectual structure and evolution of a research field. This study presents a comprehensive bibliometric analysis of publications on the application of GNNs in brain disorder diagnosis. A total of 548 articles published between 2019 and 2026 were retrieved from the Web of Science database. Titles, abstracts, and author keywords were analyzed to identify research hotspots, key contributors, and collaboration patterns. The results indicate that GNN-based methods have been predominantly applied to Alzheimer's disease, followed by autism spectrum disorder and Parkinson's disease. Furthermore, China, the United States, and the United Kingdom were identified as the leading countries in terms of scientific output. These findings highlight the rapid expansion of GNN-based neuroimaging research and provide insights into future research directions in this emerging field."
9cf5bf7847155c32c075449fdccfd7f2afe17219,"{'PubMedCentral': '12809972', 'DBLP': 'journals/bmcmi/AhmedNKRIK26', 'DOI': '10.1186/s12880-025-02118-w', 'CorpusId': 284511889, 'PubMed': '41491470'}","{'id': '31319e83-8bcf-4d70-947d-f760d7c67d76', 'name': 'BMC Medical Imaging', 'type': 'journal', 'alternate_names': ['BMC Med Imaging'], 'issn': '1471-2342', 'url': 'http://www.biomedcentral.com/bmcmedimaging/', 'alternate_urls': ['http://www.pubmedcentral.nih.gov/tocrender.fcgi?journal=41', 'https://bmcmedimaging.biomedcentral.com/', 'https://link.springer.com/journal/12880']}","Explainable artificial intelligence (XAI) in medical imaging: a systematic review of techniques, applications, and challenges",2026,131,7,"{'url': '', 'status': None, 'license': 'CCBYNCND', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC12809972, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'BMC Medical Imaging', 'volume': '26'}","{'bibtex': '@Article{Ahmed2026ExplainableAI,\n author = {Fahad Ahmed and N. Naz and Sunawar Khan and Ateeq Ur Rehman and Waleed M. Ismael and Muhammad Adnan Khan},\n booktitle = {BMC Medical Imaging},\n journal = {BMC Medical Imaging},\n title = {Explainable artificial intelligence (XAI) in medical imaging: a systematic review of techniques, applications, and challenges},\n volume = {26},\n year = {2026}\n}\n'}","[{'authorId': '2291358872', 'name': 'Fahad Ahmed'}, {'authorId': '2183219127', 'name': 'N. Naz'}, {'authorId': '2330546242', 'name': 'Sunawar Khan'}, {'authorId': '2346127857', 'name': 'Ateeq Ur Rehman'}, {'authorId': '2386011877', 'name': 'Waleed M. Ismael'}, {'authorId': '2310737171', 'name': 'Muhammad Adnan Khan'}]","Explainable Artificial Intelligence (XAI) is crucial for enhancing transparency and trustworthiness, as well as for developing AI-based diagnostic systems in medical imaging to achieve clinical acceptability and reliability. This synthesis aligns with the current context of XAI in medical imaging on four key dimensions: trends in techniques, their application to clinical use cases or with human subjects, and the associated problems. In radiology and pathology, we report on image analysis based on current literature from credible databases. This review extends on the existing surveys by explicitly addressing the focus on feature selection (FS), graph neural networks (GNNs), and multimodal transformers and combining them to a cohesive XAI taxonomy and matches the techniques to the specific impact points in the clinical workflow in radiology and pathology. We present saliency maps, attention mechanisms, and gradient-based and rule-based elucidations of deep learning (DL) models in today’s healthcare environment. Finally, the results show that XAI significantly enhances overall clinical decision-making by making the high-level reasoning of the model readily available to users, thereby increasing their confidence in clinical decisions despite the remaining obstacles, including standardization, interpretability, data bias, and complicated data integration. From 980 records, 289 duplicates were removed, 691 screened, 209 excluded, 482 full texts assessed, 263 excluded with 219 yielding 133 included studies. Exploring this third dimension within an XAI environment identifies research gaps and paves the way for robust medical imaging XAI solutions. Clinical trial number Not applicable."
12e2518309db13547993963ba913ed53c57d3717,"{'DOI': '10.1109/WiSPNET69615.2026.11489406', 'CorpusId': 287964768}",,Graph Neural Network Based Skin Lesion Classification,2026,22,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/WiSPNET69615.2026.11489406?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/WiSPNET69615.2026.11489406, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': '2026 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET)', 'pages': '1-6'}","{'bibtex': '@Conference{S2026GraphNN,\n author = {M. S and S. Thangavel and K. Somasundaram},\n booktitle = {2026 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET)},\n journal = {2026 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET)},\n pages = {1-6},\n title = {Graph Neural Network Based Skin Lesion Classification},\n year = {2026}\n}\n'}","[{'authorId': '2199461149', 'name': 'M. S'}, {'authorId': '23551520', 'name': 'S. Thangavel'}, {'authorId': '2329226369', 'name': 'K. Somasundaram'}]",
43872b765b63fa676fa16c6ae2ba1bfae62e3fdd,"{'DOI': '10.1109/ICMLAS67792.2026.11483775', 'CorpusId': 287920563}",,An Edge-Optimized Explainable Deep Learning Framework for Multi-Disease Medical Image Diagnosis,2026,25,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICMLAS67792.2026.11483775?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICMLAS67792.2026.11483775, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': '2026 International Conference on Machine Learning and Autonomous Systems (ICMLAS)', 'pages': '1312-1319'}","{'bibtex': '@Conference{Khan2026AnEE,\n author = {Sameer Khan and Soham Tikam and Mustafa Jawadwala and Faizan Khan and K. T and Venkataramanan V},\n booktitle = {2026 International Conference on Machine Learning and Autonomous Systems (ICMLAS)},\n journal = {2026 International Conference on Machine Learning and Autonomous Systems (ICMLAS)},\n pages = {1312-1319},\n title = {An Edge-Optimized Explainable Deep Learning Framework for Multi-Disease Medical Image Diagnosis},\n year = {2026}\n}\n'}","[{'authorId': '2111177863', 'name': 'Sameer Khan'}, {'authorId': '2294229060', 'name': 'Soham Tikam'}, {'authorId': '2432610949', 'name': 'Mustafa Jawadwala'}, {'authorId': '2432665634', 'name': 'Faizan Khan'}, {'authorId': '2164420562', 'name': 'K. T'}, {'authorId': '2430233857', 'name': 'Venkataramanan V'}]",
f1fb8fb6657e617d31e375878acc3a74d4c746f2,"{'DOI': '10.1109/RMKMATE69073.2026.11518806', 'CorpusId': 288470407}",,An Adaptive Reinforcement Learning-Based Heap Optimization Framework for Robust Medical Image Diagnosis and Prediction (ARL-HBO),2026,14,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/RMKMATE69073.2026.11518806?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/RMKMATE69073.2026.11518806, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2026 3rd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)', 'pages': '1-8'}","{'bibtex': '@Conference{Manuel2026AnAR,\n author = {Alvin Manuel and Dr.V.Vignaraj Ananth and Dr. G. Gunasekaran and Doug Dean},\n booktitle = {2026 3rd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)},\n journal = {2026 3rd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)},\n pages = {1-8},\n title = {An Adaptive Reinforcement Learning-Based Heap Optimization Framework for Robust Medical Image Diagnosis and Prediction (ARL-HBO)},\n year = {2026}\n}\n'}","[{'authorId': '2437020719', 'name': 'Alvin Manuel'}, {'authorId': '2285859077', 'name': 'Dr.V.Vignaraj Ananth'}, {'authorId': '2288544089', 'name': 'Dr. G. Gunasekaran'}, {'authorId': '2257896875', 'name': 'Doug Dean'}]","The recent advances in deep neural networks have quickly accelerated the application of deep learning in the diagnosis of medical images and decision support systems. Nevertheless, aside from the architecture of the network, the performance of these networks is significantly dependent on the choice of hyperparameters. Inadequate hyperparameter configurations often lead to suboptimal convergence and reduced diagnostic reliability. To address this challenge, this paper proposes an Adaptive Reinforcement Learning-Based Heap Optimization (ARL-HBO) framework for robust medical image diagnosis and prediction. The proposed framework integrates reinforcement learning with an improved Heap-based Optimization algorithm, which is enriched with grey wolf optimization concepts and orthogonal learning approaches. The ARL-HBO strategy optimizes the hyperparameters of a deep residual neural network, which leads to enhanced classification accuracy, stability, and generalization. The experimental outcome reveals that the proposed strategy performs better than other strategies."
9ba60022e70e7d168f965e25a42912b37e65fe76,"{'DOI': '10.1016/j.media.2026.104019', 'CorpusId': 286404217, 'PubMed': '41855719'}","{'id': '0e5a2999-db05-4ab3-83d8-b480d49b90be', 'name': 'Medical Image Analysis', 'type': 'journal', 'alternate_names': ['Med Image Anal'], 'issn': '1361-8415', 'url': 'https://www.journals.elsevier.com/medical-image-analysis', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/13618415']}",FreqConvMamba: Frequency-guided hierarchical hybrid SSM-CNN for medical image segmentation.,2026,39,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.media.2026.104019?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.media.2026.104019, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Medical image analysis', 'pages': '\n          104019\n        ', 'volume': '111'}","{'bibtex': '@Article{Song2026FreqConvMambaFH,\n author = {Yantao Song and Weixiang Dou and Yuhua Qian and Jieru Jia and Zheqing Zhu},\n booktitle = {Medical Image Analysis},\n journal = {Medical image analysis},\n pages = {\n          104019\n        },\n title = {FreqConvMamba: Frequency-guided hierarchical hybrid SSM-CNN for medical image segmentation.},\n volume = {111},\n year = {2026}\n}\n'}","[{'authorId': '2343738474', 'name': 'Yantao Song'}, {'authorId': '2407734637', 'name': 'Weixiang Dou'}, {'authorId': '2315287900', 'name': 'Yuhua Qian'}, {'authorId': '2365405149', 'name': 'Jieru Jia'}, {'authorId': '2334744133', 'name': 'Zheqing Zhu'}]","Accurate segmentation of medical images is a fundamental prerequisite for quantitative disease diagnosis, treatment planning, and computational pathology. Although convolutional neural networks (CNNs) and Mamba-based approaches have shown promise in this domain, each comes with distinct strengths and limitations. To address these challenges, we propose a novel hierarchical network named FreqConvMamba. The core innovation of this architecture lies in its frequency-guided feature extraction mechanism, which enables simultaneous modeling of both local and global information across spatial and frequency domains. Furthermore, the integration of Haar wavelet transformation decomposes features into different frequency components, thereby enhancing the representation of fine details such as anatomical boundaries. We also introduce a Frequency Position Encoding (FPE) module that incorporates positional encoding along the frequency dimension, embedding spatial structural awareness while preserving the discriminative nature of frequency representations. This design effectively mitigates the lack of spatial perception in frequency-domain features and significantly improves the efficiency of frequency-aware feature extraction. Experimental evaluations on five public datasets spanning three imaging modalities demonstrate that FreqConvMamba outperforms state-of-the-art methods across multiple performance metrics. Code is available at: https://github.com/ccode-Rookie/FreqConvMamba."
f38576609029527c0690e27b04d880abe904b275,"{'DOI': '10.1109/TMI.2026.3656430', 'CorpusId': 284913474, 'PubMed': '41557570'}","{'id': 'e0cda45d-3074-4ac0-80b8-e5250df00b89', 'name': 'IEEE Transactions on Medical Imaging', 'type': 'journal', 'alternate_names': ['IEEE Trans Med Imaging'], 'issn': '0278-0062', 'url': 'http://ieeexplore.ieee.org/servlet/opac?punumber=42', 'alternate_urls': ['https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=42']}",ADHD Classification With GCN via Joint Feature Learning Among Nodes and Edges,2026,51,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/TMI.2026.3656430?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/TMI.2026.3656430, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Transactions on Medical Imaging', 'pages': '2481-2492', 'volume': '45'}","{'bibtex': '@Article{Wang2026ADHDCW,\n author = {Xiaotong Wang and Yibin Tang and Yuan Gao and Xiaojing Meng and Ying Chen and Aimin Jiang},\n booktitle = {IEEE Transactions on Medical Imaging},\n journal = {IEEE Transactions on Medical Imaging},\n pages = {2481-2492},\n title = {ADHD Classification With GCN via Joint Feature Learning Among Nodes and Edges},\n volume = {45},\n year = {2026}\n}\n'}","[{'authorId': '2292173602', 'name': 'Xiaotong Wang'}, {'authorId': '2286244022', 'name': 'Yibin Tang'}, {'authorId': '2292513313', 'name': 'Yuan Gao'}, {'authorId': '2300432211', 'name': 'Xiaojing Meng'}, {'authorId': '2118427098', 'name': 'Ying Chen'}, {'authorId': '2277638648', 'name': 'Aimin Jiang'}]","Brain functional connectivity networks (FCNs) derived from resting-state functional magnetic resonance imaging (rs-fMRI) data have been widely used to identify altered brain network patterns in attention-deficit/hyperactivity disorder (ADHD). Current graph neural network (GNN) approaches using FCNs predominantly emphasize node features while underutilizing edge information. Moreover, these GNN-based methods also inadequately represent dynamic interdependencies among evolving node features across network layers, limiting their diagnostic performance. We present a graph convolutional network via joint feature learning between nodes and edges (JNEL-GCN) that integrates neuroimaging features for ADHD classification and biomarker discovery. Our framework constructs dual graph representations: 1) a node graph using amplitude of low-frequency fluctuations (ALFF) measures across multiple frequency bands as nodal features, along with functional connectivity (FC) and node feature relationship matrices as edge attributes; and 2) an edge graph derived through line graph theory, enabling the interchange of node and edge roles. By leveraging the dual-graph design, our model implements an alternating feature update mechanism with optimized graph convolution operations, facilitating feature hierarchical learning of node-edge relationships across network layers. Extensive experiments demonstrate remarkable performance, achieving 97.3% accuracy on ADHD200 and 97.1% on ABIDE-I datasets, significantly outperforming current benchmarks. Meanwhile, gradient-based biomarker analysis identifies significant regions in bilateral limbic and default mode networks associated with ADHD, aligning with the findings in existing literature. Therefore, this dual-graph approach advances neuroimaging-based diagnosis by comprehensively capturing dynamic network interactions, while providing interpretable biomarkers for clinical neuroscience applications."
6a2ba9d45ca1a4e17bee307b34d0d3eb3e166f85,"{'DOI': '10.1109/ICAECT68478.2026.11426137', 'CorpusId': 286505922}",,Explainable Mobilenetv2 Framework with Knowledge Graphs for Classifying Hand-Foot-Mouth and Chickenpox Diseases,2026,21,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICAECT68478.2026.11426137?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICAECT68478.2026.11426137, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)', 'pages': '1-6'}","{'bibtex': '@Conference{Susmitha2026ExplainableMF,\n author = {N. Susmitha and T. Anuradha},\n booktitle = {2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)},\n journal = {2026 Sixth International Conference on Advances in Electrical, Computing, Communications and Sustainable Technologies (ICAECT)},\n pages = {1-6},\n title = {Explainable Mobilenetv2 Framework with Knowledge Graphs for Classifying Hand-Foot-Mouth and Chickenpox Diseases},\n year = {2026}\n}\n'}","[{'authorId': '82314898', 'name': 'N. Susmitha'}, {'authorId': '2297385900', 'name': 'T. Anuradha'}]","Hand-Foot-and-Mouth Disease (HFMD) and Chickenpox are clinically significant viral infections that manifest with overlapping dermatological presentations, often complicating accurate differential diagnosis. Timely and precise identification is crucial for effective therapeutic management and outbreak prevention. Leveraging advances in deep learning, this study investigates the efficacy of MobileNetV2, a lightweight yet high-performing convolutional neural network, for binary classification of HFMD and Chickenpox using high-resolution skin lesion images. The finetuned model achieved 98 % training accuracy and 97 % test accuracy, demonstrating strong generalization across unseen data. To foster transparency and enhance clinical trust, Gradient-weighted Class Activation Mapping (Grad-CAM) was employed to highlight discriminative lesion regions guiding the classification process, while knowledge graph integration provided semantic contextualization of predictions, bridging the gap between raw outputs and clinical interpretability. The experimental findings underscore the potential of MobileNetV2 as a computationally efficient and interpretable diagnostic tool, advancing the paradigm of AI-driven medical image analysis in dermatology."
c9097f74746cf78f9efa9d28d138234140edbadc,"{'DBLP': 'conf/ijcnn/AmendolaBCVZ24', 'DOI': '10.1109/IJCNN60899.2024.10650146', 'CorpusId': 272587255}","{'id': 'f80ba4a3-7aed-4021-b4d8-e4f50668847a', 'name': 'IEEE International Joint Conference on Neural Network', 'type': 'conference', 'alternate_names': ['IJCNN', 'IEEE Int Jt Conf Neural Netw', 'Int Jt Conf Neural Netw', 'International Joint Conference on Neural Network'], 'url': 'http://www.wikicfp.com/cfp/program?id=1573'}",From Voxels to Insights: Exploring the Effectiveness and Transparency of Graph Neural Networks in Brain Tumor Segmentation,2024,36,4,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/IJCNN60899.2024.10650146?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/IJCNN60899.2024.10650146, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2024 International Joint Conference on Neural Networks (IJCNN)', 'pages': '1-7'}","{'bibtex': '@Article{Amendola2024FromVT,\n author = {D. Amendola and T. Basile and Giovanna Castellano and G. Vessio and G. Zaza},\n booktitle = {IEEE International Joint Conference on Neural Network},\n journal = {2024 International Joint Conference on Neural Networks (IJCNN)},\n pages = {1-7},\n title = {From Voxels to Insights: Exploring the Effectiveness and Transparency of Graph Neural Networks in Brain Tumor Segmentation},\n year = {2024}\n}\n'}","[{'authorId': '66494671', 'name': 'D. Amendola'}, {'authorId': '1745663', 'name': 'T. Basile'}, {'authorId': '2258156875', 'name': 'Giovanna Castellano'}, {'authorId': '2101805', 'name': 'G. Vessio'}, {'authorId': '31496943', 'name': 'G. Zaza'}]","Accurate brain tumor segmentation is crucial for precise medical diagnosis and treatment planning in medical imaging. This research delves into assessing the effectiveness and transparency of Graph Neural Networks (GNNs) in brain tumor segmentation. The primary objectives include comparing various GNN architectures and improving their understandability by applying the GNNExplainer method. Leveraging the BraTS 2021 challenge dataset, which consists of MRI scans and corresponding ground truth annotations, the study reveals the successful application of GNNs in achieving precise brain tumor segmentation. By incorporating GNNExplainer, the explainability of the models is significantly enhanced, shedding light on the decision-making processes within the network. The proposed approach could advance the field of brain tumor segmentation, providing clinicians with accurate and transparent models to inform their decision-making processes in patient care.1"
649643f14e220490b1bc443d7031324ab655c49b,"{'DOI': '10.1109/ICICNCT66124.2025.11232821', 'CorpusId': 283098046}",,Complex Pattern Recognition and Clinical Application of Artificial Intelligence in Medical Imaging Diagnosis,2025,13,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICICNCT66124.2025.11232821?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICICNCT66124.2025.11232821, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 International Conference on Intelligent Communication Networks and Computational Techniques (ICICNCT)', 'pages': '1-8'}","{'bibtex': '@Conference{Shen2025ComplexPR,\n author = {Danyating Shen},\n booktitle = {2025 International Conference on Intelligent Communication Networks and Computational Techniques (ICICNCT)},\n journal = {2025 International Conference on Intelligent Communication Networks and Computational Techniques (ICICNCT)},\n pages = {1-8},\n title = {Complex Pattern Recognition and Clinical Application of Artificial Intelligence in Medical Imaging Diagnosis},\n year = {2025}\n}\n'}","[{'authorId': '2154617608', 'name': 'Danyating Shen'}]","Medical imaging not only plays an important role in revealing tissue and pathological information in clinical diagnosis and treatment, but also always plays a core role in the early identification of diseases and the formulation of treatment decisions. However, with the continuous growth of the scale and complexity of imaging data, the manual film reading method is difficult to ensure the efficiency and consistency of diagnosis due to its time-consuming nature and the subjective differences of the readers. Therefore, this study proposes a multimodal fusion intelligent analysis framework. In the visual modeling stage, this framework extracts fine-grained features through deep neural networks and enhances the aggregation ability of the lesion area by using the attention mechanism. In the semantic reasoning stage, it improves the model's capture effect on potential pathological logical relationships by introducing medical knowledge and context modeling. In the diagnostic report generation stage, the generator with sequence modeling advantages is combined with cross-modal consistency constraints and contrast training strategies to ensure a close fit between text expression and visual features. The experimental results on the IU X-Ray and MIMIC-CXR datasets show that this method outperforms mainstream systems in multiple text generation evaluation metrics. Moreover, the ablation experiment further demonstrated the necessity of each module in the overall performance improvement. This indicates that this framework can not only achieve precise analysis of complex medical image structures but also generate diagnostic texts with clinical explanatory value. This thus provides a feasible solution for the application of artificial intelligence in the automatic interpretation of medical images and clinical auxiliary decisionmaking, and demonstrates broad development potential."
