paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
8f01a2613c6aabcbf2db9adb9720ea84eed8d5b9,"{'DOI': '10.3390/engproc2025112052', 'CorpusId': 282640400}",,Trustworthy Multimodal AI Agents for Early Breast Cancer Detection and Clinical Decision Support,2025,15,3,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3390/engproc2025112052?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/engproc2025112052, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'ICATH 2025'},"{'bibtex': '@Article{Emssaad2025TrustworthyMA,\n author = {Ilyass Emssaad and Fatima-Ezzahraa Ben-Bouazza and Idriss Tafala and Manal Chakour El Mezali and Bassma Jioudi},\n booktitle = {ICATH 2025},\n journal = {ICATH 2025},\n title = {Trustworthy Multimodal AI Agents for Early Breast Cancer Detection and Clinical Decision Support},\n year = {2025}\n}\n'}","[{'authorId': '2386301496', 'name': 'Ilyass Emssaad'}, {'authorId': '2220460132', 'name': 'Fatima-Ezzahraa Ben-Bouazza'}, {'authorId': '2190896412', 'name': 'Idriss Tafala'}, {'authorId': '2389763668', 'name': 'Manal Chakour El Mezali'}, {'authorId': '66238743', 'name': 'Bassma Jioudi'}]",
d4518e73aa1451416bdc6116e47d053e0d8ef7c7,"{'DOI': '10.1097/SCS.0000000000012279', 'CorpusId': 284143150, 'PubMed': '41433337'}",,Specialty-Specific Citation-Enabled AI Clinical Decision Support System for Craniofacial Surgery: Development of CASPER.,2025,12,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1097/SCS.0000000000012279?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1097/SCS.0000000000012279, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'The Journal of craniofacial surgery'},"{'bibtex': '@Article{Ozmen2025SpecialtySpecificCA,\n author = {Berk B. Ozmen and Nishant Singh and Kavach Shah and Ibrahim Berber and Eugene Pinsky and Graham S. Schwarz},\n booktitle = {The Journal of craniofacial surgery (Print)},\n journal = {The Journal of craniofacial surgery},\n title = {Specialty-Specific Citation-Enabled AI Clinical Decision Support System for Craniofacial Surgery: Development of CASPER.},\n year = {2025}\n}\n'}","[{'authorId': '2278695635', 'name': 'Berk B. Ozmen'}, {'authorId': '2366789775', 'name': 'Nishant Singh'}, {'authorId': '2367207938', 'name': 'Kavach Shah'}, {'authorId': '2310799762', 'name': 'Ibrahim Berber'}, {'authorId': '2357470422', 'name': 'Eugene Pinsky'}, {'authorId': '2278700902', 'name': 'Graham S. Schwarz'}]","BACKGROUND
Craniofacial surgery requires synthesis of complex, multidisciplinary knowledge, yet specialty-specific decision support tools are lacking. Retrieval-augmented generation (RAG) offers an opportunity to create transparent, evidence-based artificial intelligence (AI) systems tailored to surgical practice.


METHODS
The authors developed CASPER, a domain-specific, multimodal RAG system with text and image analysis capabilities, built with RAPTOR hierarchical architecture and a knowledge base of 8561 open-access craniofacial surgery articles (2000-2025). The system retrieved and synthesized peer-reviewed literature in response to 25 clinical questions spanning craniofacial subspecialties. Performance was evaluated using semantic similarity (SEM-eval) to retrieved documents, manual content coverage review, and manual citation accuracy verification.


RESULTS
CASPER achieved strong alignment with supporting literature (mean SEM-eval 0.89±0.04; range: 0.81-0.96), integrating an average of 7.8 sources per query. Highest performance was observed in pediatric airway (0.93), facial trauma (0.93), and oncologic surgery (0.95), with top scores for Pierre-Robin mandibular distraction (0.96) and orbital floor fracture management (0.95). Lower scores occurred in complex or emerging domains such as Le Fort III contraindications (0.81) and facial feminization planning (0.81). Manual review confirmed that CASPER maintained high content coverage across scenarios, with citations consistently accurate and directly supportive of system outputs.


CONCLUSIONS
CASPER is the first citation-enabled AI system for craniofacial surgery and demonstrates expert-comparable reasoning across diverse clinical scenarios. By delivering transparent, evidence-grounded recommendations, CASPER has the potential to enhance surgical planning, improve decision-making consistency, and accelerate knowledge translation in both clinical practice and surgical education."
fe5a7884cec7981767f5fa0a5e25f9bf71bf156b,"{'DOI': '10.1158/1557-3265.sabcs24-p2-02-29', 'CorpusId': 279351142}","{'id': 'a360cd20-21d0-42cf-a0af-2f14e10514f0', 'name': 'Clinical Cancer Research', 'type': 'journal', 'alternate_names': ['Clin Cancer Res'], 'issn': '1078-0432', 'url': 'https://clincancerres.aacrjournals.org/', 'alternate_urls': ['http://clincancerres.aacrjournals.org/']}",Abstract P2-02-29: AI-based Clinical Decision Support System (CDSS) for predicting response to primary systemic therapy in early breast cancer: multimodal modeling and pathology contribution,2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1158/1557-3265.sabcs24-p2-02-29?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1158/1557-3265.sabcs24-p2-02-29, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Clinical Cancer Research'},"{'bibtex': '@Article{Bussels2025AbstractPA,\n author = {B. Bussels and S. Steyaert and F. Dedeurwaerdere and I. Kindts and P. Poortmans and A. Roelstraete and F. Deman and C. de Beukelaar and Mona Bové and S. Goossens and P. De Jaeger},\n booktitle = {Clinical Cancer Research},\n journal = {Clinical Cancer Research},\n title = {Abstract P2-02-29: AI-based Clinical Decision Support System (CDSS) for predicting response to primary systemic therapy in early breast cancer: multimodal modeling and pathology contribution},\n year = {2025}\n}\n'}","[{'authorId': '2293040716', 'name': 'B. Bussels'}, {'authorId': '2293037639', 'name': 'S. Steyaert'}, {'authorId': '2283064989', 'name': 'F. Dedeurwaerdere'}, {'authorId': '2293040432', 'name': 'I. Kindts'}, {'authorId': '40450728', 'name': 'P. Poortmans'}, {'authorId': '2293025582', 'name': 'A. Roelstraete'}, {'authorId': '66258623', 'name': 'F. Deman'}, {'authorId': '2293025572', 'name': 'C. de Beukelaar'}, {'authorId': '2366754768', 'name': 'Mona Bové'}, {'authorId': '2366761452', 'name': 'S. Goossens'}, {'authorId': '2178733454', 'name': 'P. De Jaeger'}]","
 Background: Accurate prediction of tumor response to primary systemic therapy (PST) in early breast cancer is crucial for optimizing treatment decisions. The Breacs consortium developed an AI-based CDSS that integrates digital pathology data and pre-operative clinical variables to predict pathological complete response (pCR) in early breast cancer patients. Deciphering the factors on which the model relies to make these predictions may provide valuable new insights. Material and methods: A multimodal predictive model was developed using data from the BreaCS consortium, encompassing a cohort of 550 patients who underwent PST. The dataset included digital pathology data from biopsies and more than 100 pre-operative clinical variables from the standardised EUSOMA database. The data was split into a training and a test sets (80-20 stratified split on patient level). Model evaluation metrics included the area under the operator curve (AUC), sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV). Quantitative cell segmentation analysis was conducted on the test set to identify histopathological features influencing the model’s predictions. Cell type fractions were compared across 4 different groups (true positives, false positives, false negatives, true negatives) within the confusion matrix. Results: The unimodal model based on pathology data achieved an AUC of 0.70 (training) and 0.81 (test). The model using only EUSOMA clinical data scored an AUC of 0.88 (training) and 0.82 (test). The multimodal model, incorporating both pathology and clinical data, demonstrated superior performance with an AUC of 0.91 (training) and 0.84 (test). The multimodal model demonstrated a significant improvement in sensitivity, NPV and PPV compared to the unimodal models, with specificity remaining relatively unchanged.The test set confusion matrix showed 72 true negatives (TN), 11 false negatives (FN), 14 true positives (TP), and 9 false positives (FP). The cell segmentation in the group of the TP (predicted and obtained complete remission) shows an excess in the fraction of tumor cells compared to the TN. The TN (non-responders) on the other hand have an excess in the fraction of connective tissue compared to the TP. Conclusions: The AI-based CDSS demonstrates promising predictive capabilities for response to PST in early breast cancer, with the multimodal approach showing enhanced predictive accuracy. This study underscores the importance of integrating multimodal data in predictive models. The observed differences in cellular composition between TP and TN reveals distinct cellular compositions and may suggest potential refinements for improving model accuracy.
 Citation Format: Barbara Bussels, Sandra Steyaert, Francesca Dedeurwaerdere, Isabelle Kindts, Philip Poortmans, Adelheid Roelstraete, Frederik Deman, Caroline De Beukelaar, Mona Bové, Sander Goossens, Peter De Jaeger. AI-based Clinical Decision Support System (CDSS) for predicting response to primary systemic therapy in early breast cancer: multimodal modeling and pathology contribution [abstract]. In: Proceedings of the San Antonio Breast Cancer Symposium 2024; 2024 Dec 10-13; San Antonio, TX. Philadelphia (PA): AACR; Clin Cancer Res 2025;31(12 Suppl):Abstract nr P2-02-29."
218f85b70ce8ef1b40791bc8987a3121818cf52a,"{'DOI': '10.1109/ICMLAS64557.2025.10969014', 'CorpusId': 278065284}",,"AI-Powered Clinical Decision Support Systems (CDSS): Challenges, Benefits, Applications, and Future Directions",2025,20,3,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICMLAS64557.2025.10969014?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICMLAS64557.2025.10969014, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS)', 'pages': '1192-1197'}","{'bibtex': '@Conference{Yesankar2025AIPoweredCD,\n author = {Prajyot R. Yesankar and Chetan G. Puri and Pradnyawant Gote},\n booktitle = {2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS)},\n journal = {2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS)},\n pages = {1192-1197},\n title = {AI-Powered Clinical Decision Support Systems (CDSS): Challenges, Benefits, Applications, and Future Directions},\n year = {2025}\n}\n'}","[{'authorId': '2316758551', 'name': 'Prajyot R. Yesankar'}, {'authorId': '84741588', 'name': 'Chetan G. Puri'}, {'authorId': '2327232951', 'name': 'Pradnyawant Gote'}]","AI-based Clinical Decision Support Systems are a revolutionary innovation in the healthcare sector, using artificial intelligence to improve diagnostic precision, optimize treatment planning, and enhance patient outcomes. This paper discusses the challenges, benefits, applications, and future directions of AI-driven CDSS. Some of the key challenges are data quality, integration with EHRs, ethical concerns, and explainability issues. Despite these challenges, benefits such as efficiency improvements, reduced clinician workload, and the possibility of tailored medicine are substantial. In addition, the paper depicts diverse applications across oncology, cardiology, and primary care. The paper further stresses the directions: validation of robustness, user-friendly interfaces, and equitable deployment to achieve maximal utilization of AI-CDSS in global health care systems. Besides this, the integration of multimodal data and improvement in predictive analytics will help to revolutionize preventive care. Moreover, ethical practices with AI will bring forth trust and adoption. Such an all-inclusive review signifies the pivotal role AI will play in shaping clinical decision-making for the future."
4bcf62f670f422389598269c097c6be78783eeb3,"{'DOI': '10.1158/1557-3265.sabcs24-p2-10-09', 'CorpusId': 279334169}","{'id': 'a360cd20-21d0-42cf-a0af-2f14e10514f0', 'name': 'Clinical Cancer Research', 'type': 'journal', 'alternate_names': ['Clin Cancer Res'], 'issn': '1078-0432', 'url': 'https://clincancerres.aacrjournals.org/', 'alternate_urls': ['http://clincancerres.aacrjournals.org/']}",Abstract P2-10-09: Can an AI-based Clinical Decision Support System (CDSS) in the treatment decision-making process for breast cancer contribute to healthcare cost reduction ?,2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1158/1557-3265.sabcs24-p2-10-09?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1158/1557-3265.sabcs24-p2-10-09, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Clinical Cancer Research'},"{'bibtex': '@Article{Bussels2025AbstractPC,\n author = {B. Bussels and I. Kindts and S. Steyaert and P. Poortmans and A. Roelstraete and Caroline de Beukelaer and Mona Bové and S. Goossens and P. De Jaeger},\n booktitle = {Clinical Cancer Research},\n journal = {Clinical Cancer Research},\n title = {Abstract P2-10-09: Can an AI-based Clinical Decision Support System (CDSS) in the treatment decision-making process for breast cancer contribute to healthcare cost reduction ?},\n year = {2025}\n}\n'}","[{'authorId': '2293040716', 'name': 'B. Bussels'}, {'authorId': '2293040432', 'name': 'I. Kindts'}, {'authorId': '2293037639', 'name': 'S. Steyaert'}, {'authorId': '40450728', 'name': 'P. Poortmans'}, {'authorId': '2293025582', 'name': 'A. Roelstraete'}, {'authorId': '2366765255', 'name': 'Caroline de Beukelaer'}, {'authorId': '2366754768', 'name': 'Mona Bové'}, {'authorId': '2366761452', 'name': 'S. Goossens'}, {'authorId': '2178733454', 'name': 'P. De Jaeger'}]","
 Background: Reducing breast cancer treatment costs is vital for global patient care, especially in low-income countries, and alleviates the financial burden on healthcare systems, fostering better resource allocation for new therapies. Material and methods : The BreaCS consortium developed an AI-based CDSS for early breast cancer patients, targeting three questions at diagnosis : definitive tumor size (pT), nodal involvement and response to primary systemic therapy (PST). A multimodal fusion of the EUSOMA clinical data, biopsy pathology data and the preoperative MRI trained the AI based-model. The economic impact was assessed using the real-world EUSOMA database from the consortium, comprising 5,000 early breast cancer patients. The impact on healthcare costs was calculated based on the treatment of 1,200 new early breast cancer patients annually by the consortium. Only the costs of the unnecessary surgical procedures were calculated according to the Belgian reimbursement system excluding non-surgical costs, hospital admission and other related expenses. Results: Accurate prediction of the tumor size will refine decisions about breast-conserving surgery (BCS) versus mastectomy (ME), reducing the need for reconstructive surgeries. In our database, 42,5 % of patients had a superior pathological T stage compared to clinical staging. This led to 5% of patients requiring second breast surgery, with half undergoing a re-excision and the other half a ME. The annual cost for a second surgery for the consortium is estimated at 9000 euro. Conversely, 40,5 % of patients had a smaller pathological T stage compared to the clinical estimation. 25 % of these patients had a pT1 while presenting with a cT2-3. Considering that the cT3 patients (approximately 3%) received unnecessary ME’s, the cost for unnecessary reconstructions is estimated on a yearly basis to be 53,536 euro for the entire consortium. Prediction of lymph node involvement will eliminate the need for any axillary surgery in pN0 patients. Of the entire population 71,7% underwent a sentinel lymph node biopsy (SLNB), of which 40,4 % had pN0. Approximately 350 SLNB could have been avoided, related to a cost of 70,000 euros on a yearly basis. 18% of patients receiving PST had a pCR. In these cases, predicting response might allow omitting all surgical procedures. For patients with a pCR, 66.4% received SLNB, 42,7 % axillary LN dissection, 38,6 % a ME and 56,8 % a BCS. All these surgeries have a combined total cost of 13,800 euro. Conclusions: An AI-based CDSS that can predict tumor size, lymph node involvement and response to PST could reduce the surgical costs for early breast cancer treatment with approximately 150,000 euro on a yearly basis for 1200 patients. This excludes non-surgical costs, treatment of sequelae and impact on quality of life of the patients.
 Citation Format: Barbara Bussels, Isabelle Kindts, Sandra Steyaert, Philip Poortmans, Adelheid Roelstraete, Caroline de Beukelaer, Mona Bové, Sander Goossens, Peter De Jaeger. Can an AI-based Clinical Decision Support System (CDSS) in the treatment decision-making process for breast cancer contribute to healthcare cost reduction ? [abstract]. In: Proceedings of the San Antonio Breast Cancer Symposium 2024; 2024 Dec 10-13; San Antonio, TX. Philadelphia (PA): AACR; Clin Cancer Res 2025;31(12 Suppl):Abstract nr P2-10-09."
db85000d8e0d11460103914670d90452f65f5a04,"{'ArXiv': '2502.09242', 'DBLP': 'journals/corr/abs-2502-09242', 'PubMedCentral': '12411359', 'DOI': '10.1007/s13534-025-00497-1', 'CorpusId': 276317889, 'PubMed': '40917142'}","{'id': '33092303-6879-4bbc-96b9-eab10cc8ac1b', 'name': 'Biomedical Engineering Letters', 'type': 'journal', 'alternate_names': ['Biomed Eng Lett'], 'issn': '2093-9868', 'url': 'https://link.springer.com/journal/13534', 'alternate_urls': ['http://www.kosombe.or.kr/']}",From large language models to multimodal AI: a scoping review on the potential of generative AI in medicine,2025,178,33,"{'url': '', 'status': None, 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2502.09242, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Biomedical Engineering Letters', 'pages': '845 - 863', 'volume': '15'}","{'bibtex': '@Article{Buess2025FromLL,\n author = {L. Buess and Matthias Keicher and Nassir Navab and Andreas K. Maier and Soroosh Tayebi Arasteh},\n booktitle = {Biomedical Engineering Letters},\n journal = {Biomedical Engineering Letters},\n pages = {845 - 863},\n title = {From large language models to multimodal AI: a scoping review on the potential of generative AI in medicine},\n volume = {15},\n year = {2025}\n}\n'}","[{'authorId': '2345187934', 'name': 'L. Buess'}, {'authorId': '2372357', 'name': 'Matthias Keicher'}, {'authorId': '2259265528', 'name': 'Nassir Navab'}, {'authorId': '2345295734', 'name': 'Andreas K. Maier'}, {'authorId': '2179697721', 'name': 'Soroosh Tayebi Arasteh'}]","Generative artificial intelligence (AI) models, such as diffusion models and OpenAI’s ChatGPT, are transforming medicine by enhancing diagnostic accuracy and automating clinical workflows. The field has advanced rapidly, evolving from text-only large language models for tasks such as clinical documentation and decision support to multimodal AI systems capable of integrating diverse data modalities, including imaging, text, and structured data, within a single model. The diverse landscape of these technologies, along with rising interest, highlights the need for a comprehensive review of their applications and potential. This scoping review explores the evolution of multimodal AI, highlighting its methods, applications, datasets, and evaluation in clinical settings. Adhering to PRISMA-ScR guidelines, we systematically queried PubMed, IEEE Xplore, and Web of Science, prioritizing recent studies published up to the end of 2024. After rigorous screening, 145 papers were included, revealing key trends and challenges in this dynamic field. Our findings underscore a shift from unimodal to multimodal approaches, driving innovations in diagnostic support, medical report generation, drug discovery, and conversational AI. However, critical challenges remain, including the integration of heterogeneous data types, improving model interpretability, addressing ethical concerns, and validating AI systems in real-world clinical settings. This review summarizes the current state of the art, identifies critical gaps, and provides insights to guide the development of scalable, trustworthy, and clinically impactful multimodal AI solutions in healthcare."
0306451cafda525e6eb0ff7e55ab2f724ebf0c67,"{'PubMedCentral': '12380607', 'DOI': '10.1038/s43018-025-00991-6', 'CorpusId': 279165726, 'PubMed': '40481323'}","{'id': 'f511c64e-b292-49b6-a819-65678fadeebb', 'name': 'Nature Cancer', 'type': 'journal', 'alternate_names': ['Nat Cancer'], 'issn': '2662-1347', 'url': 'https://www.nature.com/natcancer/'}",Development and validation of an autonomous artificial intelligence agent for clinical decision-making in oncology,2025,55,116,"{'url': '', 'status': None, 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC12380607, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Nature Cancer', 'pages': '1337 - 1349', 'volume': '6'}","{'bibtex': '@Article{Ferber2025DevelopmentAV,\n author = {Dyke Ferber and O. E. El Nahhas and G. Wölflein and I. Wiest and J. Clusmann and M. Leßmann and S. Foersch and Jacqueline Lammert and Maximilian Tschochohei and Dirk Jaeger and M. Salto-Tellez and N. Schultz and D. Truhn and J. Kather},\n booktitle = {Nature Cancer},\n journal = {Nature Cancer},\n pages = {1337 - 1349},\n title = {Development and validation of an autonomous artificial intelligence agent for clinical decision-making in oncology},\n volume = {6},\n year = {2025}\n}\n'}","[{'authorId': '2258620804', 'name': 'Dyke Ferber'}, {'authorId': '2211114330', 'name': 'O. E. El Nahhas'}, {'authorId': '2133136692', 'name': 'G. Wölflein'}, {'authorId': '2290247593', 'name': 'I. Wiest'}, {'authorId': '2295664911', 'name': 'J. Clusmann'}, {'authorId': '2123242328', 'name': 'M. Leßmann'}, {'authorId': '6234552', 'name': 'S. Foersch'}, {'authorId': '2295668226', 'name': 'Jacqueline Lammert'}, {'authorId': '2295664086', 'name': 'Maximilian Tschochohei'}, {'authorId': '2339174269', 'name': 'Dirk Jaeger'}, {'authorId': '2243864159', 'name': 'M. Salto-Tellez'}, {'authorId': '2249453606', 'name': 'N. Schultz'}, {'authorId': '3228050', 'name': 'D. Truhn'}, {'authorId': '2262022936', 'name': 'J. Kather'}]","Clinical decision-making in oncology is complex, requiring the integration of multimodal data and multidomain expertise. We developed and evaluated an autonomous clinical artificial intelligence (AI) agent leveraging GPT-4 with multimodal precision oncology tools to support personalized clinical decision-making. The system incorporates vision transformers for detecting microsatellite instability and KRAS and BRAF mutations from histopathology slides, MedSAM for radiological image segmentation and web-based search tools such as OncoKB, PubMed and Google. Evaluated on 20 realistic multimodal patient cases, the AI agent autonomously used appropriate tools with 87.5% accuracy, reached correct clinical conclusions in 91.0% of cases and accurately cited relevant oncology guidelines 75.5% of the time. Compared to GPT-4 alone, the integrated AI agent drastically improved decision-making accuracy from 30.3% to 87.2%. These findings demonstrate that integrating language models with precision oncology and search tools substantially enhances clinical accuracy, establishing a robust foundation for deploying AI-driven personalized oncology support systems. Ferber et al. present an autonomous artificial intelligence agent system for deployment of specialized medical oncology computational tools, validating their system across various clinical scenarios representative of typical patient care workflows."
d5c545b81736493ae5a762f1d88e1adf4e1f15a8,"{'DOI': '10.1109/RMKMATE64874.2025.11042864', 'CorpusId': 279597035}",,Clinical Decision Support Systems Powered by Big Data Analytics in Diagnosis and Treatment Planning,2025,23,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/RMKMATE64874.2025.11042864?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/RMKMATE64874.2025.11042864, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)', 'pages': '1-7'}","{'bibtex': '@Conference{Ashok2025ClinicalDS,\n author = {P. Ashok and A. Chirputkar and Priya Gupta},\n booktitle = {2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)},\n journal = {2025 2nd International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)},\n pages = {1-7},\n title = {Clinical Decision Support Systems Powered by Big Data Analytics in Diagnosis and Treatment Planning},\n year = {2025}\n}\n'}","[{'authorId': '2172886851', 'name': 'P. Ashok'}, {'authorId': '100488333', 'name': 'A. Chirputkar'}, {'authorId': '2119998666', 'name': 'Priya Gupta'}]","Big data analytics is playing an increasingly vital role in medical research and care delivery by enabling the management, analysis, and assimilation of vast amounts of fragmented and structured data generated by healthcare systems. However, some fundamental issues with the big data paradigm still hinder its adoption and research progress in this field. Healthcare generates significant data due to record keeping, regulatory requirements, and patient care, which are increasingly being digitized. In this study, we examine the challenges medical research faces in image, signal, and genomics-based analytics and explore potential research opportunities that could transform healthcare delivery. We also discuss a recent study that combines multimodal data from various sources with vast medical data. The research aims at describing the hurdles and bottlenecks that healthcare organizations might face during adopting and implementing of large-scale data analytics initiatives. Through the defining of these difficulties, the analysis aims at building up the expertise and analytic tools that are needed for a successful big data initiative in a way that stakeholders may be zeroed with the barriers and overcome them efficiently. Along with the tackling of challenges, analytics use in healthcare nowadays poses some threats. The investigation, which provides case studies and real-life examples, has been conducted in order to demonstrate the power big data analytics can have on healthcare delivery, patient outcomes, and organizational efficiency."
b1a861b1419c858b4986b5f467b8f5179b6b462c,"{'DOI': '10.1109/ICIMCT.2025.00037', 'CorpusId': 281893493}",,Multimodal Data Fusion and Reinforcement Learning-Driven Intelligent Nursing Decision Support System,2025,12,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICIMCT.2025.00037?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICIMCT.2025.00037, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 International Conference on Information Management and Computing Technology (ICIMCT)', 'pages': '153-156'}","{'bibtex': '@Conference{Huang2025MultimodalDF,\n author = {Jing Huang and Bei Tian},\n booktitle = {2025 International Conference on Information Management and Computing Technology (ICIMCT)},\n journal = {2025 International Conference on Information Management and Computing Technology (ICIMCT)},\n pages = {153-156},\n title = {Multimodal Data Fusion and Reinforcement Learning-Driven Intelligent Nursing Decision Support System},\n year = {2025}\n}\n'}","[{'authorId': '2298468720', 'name': 'Jing Huang'}, {'authorId': '2298115395', 'name': 'Bei Tian'}]","In response to the problems of traditional nursing decision-making relying on manual experience and insufficient dynamic adaptability, this study proposes an intelligent nursing decision support system (AI CareDSS) that integrates multimodal data perception and reinforcement learning. The system adopts an improved spatiotemporal graph convolutional network (STGCN) to model the dynamic correlation between patient physiological parameters and nursing operations, and designs a decision optimization model based on dual delay depth deterministic policy gradient (TD3). By introducing dynamic priority experience replay mechanism (DPER) and multi-objective constraint conditions, personalized recommendation and risk control of nursing operations can be achieved. The experiment showed that on a simulated dataset containing 12 clinical scenarios, the clinical conformity rate of the system's recommended decisions reached 96.3%, with a response time of less than 0.8 seconds, significantly better than traditional expert systems (p<0.01). This research provides innovative solutions for real-time nursing decision-making in the context of smart healthcare."
dcc22ad58c3c370699e40d84a34aba3da19ae557,"{'DOI': '10.54941/ahfe1006982', 'CorpusId': 282904357}","{'id': 'a81fb963-36e5-4d71-806c-f7a7749dd008', 'name': 'AHFE International', 'type': 'conference', 'alternate_names': ['AHFE Int'], 'issn': '2771-0718'}",From Insights to Interface: Exploring Human-AI Interaction in Clinical Decision-Making for Ophthalmology,2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.54941/ahfe1006982?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.54941/ahfe1006982, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'AHFE International'},"{'bibtex': '@Article{Dahlem2025FromIT,\n author = {N. Dahlem and Laura Steffny and A. Arun and Vera Marie Memmesheimer and Achim Ebert},\n booktitle = {AHFE International},\n journal = {AHFE International},\n title = {From Insights to Interface: Exploring Human-AI Interaction in Clinical Decision-Making for Ophthalmology},\n year = {2025}\n}\n'}","[{'authorId': '2097078682', 'name': 'N. Dahlem'}, {'authorId': '151454556', 'name': 'Laura Steffny'}, {'authorId': '2284389708', 'name': 'A. Arun'}, {'authorId': '2305957644', 'name': 'Vera Marie Memmesheimer'}, {'authorId': '2243373564', 'name': 'Achim Ebert'}]","Despite the considerable potential inherent in the integration of AI into healthcare, its practical application remains limited. In a preceding study (Theilmann et al., 2025), semi-structured expert interviews were conducted to identify key factors for successfully integrating AI into healthcare. Factors identified include ease of use, alignment with clinical workflows, the incorporation of domain-specific knowledge and the involvement of stakeholders through co-design methods. This paper explores these factors in practice by implementing a low-fidelity prototype to support ophthalmologists in clinical decision-making based on optical coherence tomography (OCT) and fundus scans was implemented. It supports multimodal interaction modalities, editable AI-generated suggestions, and interactive visual overlays. To evaluate the user interface and interaction design, structured usability testing was carried out with practising ophthalmologists at a German ophthalmology clinic. The study employed a combination of quantitative and qualitative methodologies, encompassing think-aloud protocols, the System Usability Scale (SUS), and an A/B testing setup. The findings suggest that interaction design tailored to the specific needs of ophthalmology, such as visual overlays and multimodal interaction types, improves the efficiency of Human–AI collaboration. A strong preference for interpretable and editable AI outputs was identified, as these outputs allow for greater control over final decisions and increased transparency. The study outlines a human-centred design process and demonstrates how structured feedback loops, domain-specific adaptations and user-centred design can facilitate a more effective adoption of AI in healthcare. These insights could inform the development of future interactive AI systems that support, rather than replace, medical expertise."
