paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
36b1e2a69c89f673325606fb778b94cb5979a6a3,"{'DOI': '10.1177/0309524x261423723', 'CorpusId': 285556248}","{'id': 'c44ea3df-5f9a-429e-a928-593335e8df6d', 'name': 'Wind Engineering : The International Journal of Wind Power', 'type': 'journal', 'alternate_names': ['Wind Eng  Int J Wind Power', 'Wind Engineering', 'Wind Eng'], 'issn': '0309-524X', 'url': 'http://journals.sagepub.com/doi/abs/10.1177/0309524X17723207', 'alternate_urls': ['http://www.jstor.org/journal/windengi']}","Machine learning applications in wind energy production: Current status, challenges, and future directions",2026,59,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1177/0309524x261423723?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1177/0309524x261423723, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Wind Engineering'},"{'bibtex': '@Article{Soomro2026MachineLA,\n author = {S. Soomro and N. H. Mirjat and Naveed Arshad and M. .. Uqaili and Shoaib Ahmed Khatri},\n booktitle = {Wind Engineering : The International Journal of Wind Power},\n journal = {Wind Engineering},\n title = {Machine learning applications in wind energy production: Current status, challenges, and future directions},\n year = {2026}\n}\n'}","[{'authorId': '30756935', 'name': 'S. Soomro'}, {'authorId': '38950535', 'name': 'N. H. Mirjat'}, {'authorId': '2405603928', 'name': 'Naveed Arshad'}, {'authorId': '3407587', 'name': 'M. .. Uqaili'}, {'authorId': '117147511', 'name': 'Shoaib Ahmed Khatri'}]","As wind energy capacity surpasses 1136 GW globally, ML technologies prove essential for achieving renewable energy targets and grid stability requirements. Machine learning (ML) has emerged as a transformative technology for wind energy systems, revolutionizing forecasting accuracy, operational efficiency, and system reliability. This comprehensive review synthesizes recent advances across 500+ peer-reviewed studies from 2020 to 2025, revealing 15–40% performance improvements over traditional methods across all major applications. Deep learning approaches achieve up to 99% accuracy in fault detection while optimized forecasting systems reduce Mean Absolute Percentage Error (MAPE) to 5–12% and demonstrate 20% increases in energy value through advanced prediction capabilities. The review examines ML applications spanning wind power forecasting, turbine control optimization, predictive maintenance, and emerging technologies including digital twins and physics-informed neural networks. Critical challenges including data availability, model interpretability, and cross-site generalization are addressed, while future research directions emphasize physics-informed ML, federated learning, and explainable AI approaches."
5d160874f058a672dd0ac3d2c605bbd4e0fe6f1e,"{'DOI': '10.66640/ujp-2026-5-00001', 'CorpusId': 288031703}",,"MACHINE LEARNING AND AI IN POLYMER SCIENCE: A REVIEW OF PROGRESS, CHALLENGES, AND FUTURE DIRECTIONS",2026,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.66640/ujp-2026-5-00001?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.66640/ujp-2026-5-00001, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Uzbekistan Journal of Polymers.'},"{'bibtex': '@Article{Nurgaliev2026MACHINELA,\n author = {I. Nurgaliev and M. Marasulov and A. Hamzayev and Akmal B. Abilkasimov},\n booktitle = {Uzbekistan Journal of Polymers.},\n journal = {Uzbekistan Journal of Polymers.},\n title = {MACHINE LEARNING AND AI IN POLYMER SCIENCE: A REVIEW OF PROGRESS, CHALLENGES, AND FUTURE DIRECTIONS},\n year = {2026}\n}\n'}","[{'authorId': '2274878764', 'name': 'I. Nurgaliev'}, {'authorId': '2403583986', 'name': 'M. Marasulov'}, {'authorId': '2089694055', 'name': 'A. Hamzayev'}, {'authorId': '2370345260', 'name': 'Akmal B. Abilkasimov'}]","Recent years have witnessed a profound transformation in polymer science driven by the rapid integration of machine learning (ML) and artificial intelligence (AI). This review provides a comprehensive and up-to-date analysis of advances in ML applications across the polymer field from 2023 to July 2025. We examine the use of supervised, unsupervised, and reinforcement learning methods for polymer design, property prediction, structural characterization, process optimization, and sustainable materials development. Special attention is given to emerging paradigms such as high-throughput screening, inverse design, multi-scale modeling, and the use of generative models—including variational autoencoders (VAEs), graph neural networks (GNNs), and transformer-based architectures. We also explore recent innovations in explainable AI (XAI), physics-informed neural networks (PINNs), and the growing role of automated experimental platforms. Key challenges—including data scarcity, model generalization, and interpretability—are discussed alongside strategies such as transfer learning, active learning, and the development of polymer-specific representations like BigSMILES. The review concludes with future directions and the outlook for AI-powered polymer discovery, highlighting the increasing role of open-access databases, multi-modal learning, and autonomous laboratories. Together, these developments mark a paradigm shift in how polymers are conceived, characterized, and optimized—ushering in a new era of intelligent materials innovation."
b9faba91f3451c4bc3fd0ec7cffa16afa10e1d83,"{'DOI': '10.3390/w18010119', 'CorpusId': 284572325}","{'id': '2bff3ecd-cb0d-467a-bdff-036c3e4b3e2d', 'name': 'Water', 'type': 'journal', 'issn': '2073-4441', 'alternate_issns': ['1462-897X', '0310-0367'], 'url': 'http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-160269', 'alternate_urls': ['http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:ch:bel-160269', 'http://www.mdpi.com/journal/water/about/', 'https://www.mdpi.com/journal/water']}",A Review of the Advances and Emerging Approaches in Hydrological Forecasting: From Traditional to AI-Powered Models,2026,225,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3390/w18010119?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/w18010119, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Water'},"{'bibtex': '@Article{Robles2026ARO,\n author = {K. P. V. Robles and Jerose G. Solmerin and Gerald Christian E. Pugat and C. E. Monjardin},\n booktitle = {Water},\n journal = {Water},\n title = {A Review of the Advances and Emerging Approaches in Hydrological Forecasting: From Traditional to AI-Powered Models},\n year = {2026}\n}\n'}","[{'authorId': '2141378533', 'name': 'K. P. V. Robles'}, {'authorId': '2365686266', 'name': 'Jerose G. Solmerin'}, {'authorId': '2365687907', 'name': 'Gerald Christian E. Pugat'}, {'authorId': '40892621', 'name': 'C. E. Monjardin'}]","Hydrological forecasting has evolved rapidly in response to intensifying climate variability, increasing data availability, and advances in computational modeling. This review synthesizes developments from 2006 to 2025, examining four major forecasting domains: statistical approaches, physically based models, data-driven machine learning and deep learning techniques, and hybrid or emerging physics–AI frameworks. Recent literature shows a decisive shift toward integrated, data-rich systems that leverage remote sensing, IoT networks, and artificial intelligence to overcome limitations in traditional forecasting. While hybrid and physics-informed AI models achieve notable improvements in accuracy, lead time, and scalability, persistent challenges remain, especially regarding data scarcity, model interpretability, cross-basin generalization, climate non-stationarity, and operational computational demands. This review highlights these limitations and outlines future directions needed to strengthen hydrological forecasting as a tool for climate adaptation, early warning systems, and long-term water resource planning. By consolidating methodological advances and emerging gaps, the study provides insights into how hydrological forecasting can transition toward more resilient, transparent, and decision-oriented frameworks."
fe59ea6d2b4e3616f9f1e06c98a3315be1d7e9aa,"{'DOI': '10.1016/j.jmsy.2026.01.002', 'CorpusId': 284759784}","{'id': 'dc56537e-0e06-44dd-8fe9-50131609f0c2', 'name': 'Journal of manufacturing systems', 'type': 'journal', 'alternate_names': ['Journal of Manufacturing Systems', 'J manuf syst', 'J Manuf Syst'], 'issn': '0278-6125', 'url': 'http://www.elsevier.com/wps/find/journaldescription.cws_home/405902/description#description', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/02786125', 'https://www.journals.elsevier.com/journal-of-manufacturing-systems', 'http://proquest.umi.com/pqdlink?Exp=07-08-2015&PMID=13226&RQT=318&Ver=1&cfc=1']}","Physics-informed machine learning across manufacturing processes: Recent advances, challenges, and directions",2026,171,5,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jmsy.2026.01.002?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jmsy.2026.01.002, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Journal of Manufacturing Systems'},"{'bibtex': '@Article{Ra2026PhysicsinformedML,\n author = {Dong-Kwang Ra and Jaeryun Lee and Minwoo Lee and Seongmin Kwak and Seungchul Lee and Sooyoung Lee},\n booktitle = {Journal of manufacturing systems},\n journal = {Journal of Manufacturing Systems},\n title = {Physics-informed machine learning across manufacturing processes: Recent advances, challenges, and directions},\n year = {2026}\n}\n'}","[{'authorId': '152351836', 'name': 'Dong-Kwang Ra'}, {'authorId': '2116026172', 'name': 'Jaeryun Lee'}, {'authorId': '2276573855', 'name': 'Minwoo Lee'}, {'authorId': '2404717632', 'name': 'Seongmin Kwak'}, {'authorId': '2259867778', 'name': 'Seungchul Lee'}, {'authorId': '2339817116', 'name': 'Sooyoung Lee'}]",
a58d53b061e87ac2735471548b8320a0c3692dc8,"{'DOI': '10.18311/jmmf/2025/50326', 'CorpusId': 282974368}","{'id': '9876a904-3997-4c4d-b2ca-17b6cdf738fd', 'name': 'Journal of Mines, Metals and Fuels', 'type': 'journal', 'alternate_names': ['J Mine Met Fuel'], 'issn': '0022-2755'}","Recent Advances in Computational Fluid Dynamics Using Artificial Intelligence, Machine Learning, and Deep Learning: A Comprehensive Review",2025,21,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.18311/jmmf/2025/50326?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.18311/jmmf/2025/50326, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Journal of Mines, Metals and Fuels'}","{'bibtex': '@Article{Rajashekaraiah2025RecentAI,\n author = {Thejaraju Rajashekaraiah and Hadiya Pritesh Dulabhai and K. Kiran and R. Ravikumar and S. Shivakumar and K. Girisha and S. Kavitha and V. Santosh},\n booktitle = {Journal of Mines, Metals and Fuels},\n journal = {Journal of Mines, Metals and Fuels},\n title = {Recent Advances in Computational Fluid Dynamics Using Artificial Intelligence, Machine Learning, and Deep Learning: A Comprehensive Review},\n year = {2025}\n}\n'}","[{'authorId': '115124168', 'name': 'Thejaraju Rajashekaraiah'}, {'authorId': '104222673', 'name': 'Hadiya Pritesh Dulabhai'}, {'authorId': '31389663', 'name': 'K. Kiran'}, {'authorId': '2269619598', 'name': 'R. Ravikumar'}, {'authorId': '2392159853', 'name': 'S. Shivakumar'}, {'authorId': '2097210459', 'name': 'K. Girisha'}, {'authorId': '2290789534', 'name': 'S. Kavitha'}, {'authorId': '2392161397', 'name': 'V. Santosh'}]","The integration of Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) techniques with Computational Fluid Dynamics (CFD) represents a paradigm shift in fluid mechanics research and engineering applications. This comprehensive review examines recent advances from 2015 to 2025 in applying AI/ML/DL methodologies to enhance traditional CFD workflows across various domains, including turbulence modelling, heat transfer prediction, surrogate modelling, inverse design, and real-time flow control. The paper systematically analyses the fundamental concepts underlying these technologies, their specific applications in fluid dynamics problems, and the challenges associated with their implementation. Key findings indicate that physics-informed neural networks, convolutional neural networks, and reinforcement learning algorithms have demonstrated significant potential in accelerating CFD simulations while maintaining accuracy. However, challenges related to data quality, model interpretability, generalisation capabilities, and integration with high-performance computing platforms remain significant barriers to widespread adoption. The review concludes by emphasising future research directions, highlighting the need for interdisciplinary collaboration to develop robust, interpretable, and physically consistent AI-enhanced CFD frameworks that can revolutionise engineering design and optimisation processes.
Major Findings: (1) AI/ML/DL methods are transforming CFD by enabling efficient surrogate modelling, turbulence prediction, and inverse design with reduced computational costs. (2) Physics-informed and hybrid models ensure physical consistency, improving generalisation and trust in predictions. (3) Integration with digital twins and real-time systems paves the way for adaptive, intelligent control of fluid systems."
aa035c9c6e111bed37a9e6e79e28b4f54acf19fe,"{'DOI': '10.1109/ISMSIT67332.2025.11268202', 'CorpusId': 283570049}",,"Recent Advances in Machine Learning for Reconfigurable Intelligent Surfaces: Methods, Applications, and Open Challenges",2025,30,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ISMSIT67332.2025.11268202?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ISMSIT67332.2025.11268202, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 9th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)', 'pages': '1-4'}","{'bibtex': '@Article{Tok2025RecentAI,\n author = {Yasin Emre Tok},\n booktitle = {2025 9th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)},\n journal = {2025 9th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)},\n pages = {1-4},\n title = {Recent Advances in Machine Learning for Reconfigurable Intelligent Surfaces: Methods, Applications, and Open Challenges},\n year = {2025}\n}\n'}","[{'authorId': '2312753118', 'name': 'Yasin Emre Tok'}]","Reconfigurable Intelligent Surfaces (RIS) are planar, programmable metasurfaces that reshape radio propagation to enhance coverage, suppress interference, and enable environment-aware MIMO operation. This survey synthesizes recent machine-learning advances for RIS-aided communications, focusing on: (i) channel estimation and CSI compression with deep and physics-informed models; (ii) RIS configuration and joint active–passive beamforming via reinforcement learning and discrete/combinatorial optimization; and (iii) sensing, localization, and ISAC that exploit RIS-induced spatial diversity. After a concise system-model primer (passive vs. hybrid-active RIS, near- vs. far-field, wideband OFDM, discrete phase quantization), we organize methods by task and compare them under unified metrics—accuracy, sample complexity, inference latency, and robustness to mobility, blockage, and hardware impairments. We also review prototypes and case studies, emphasizing controller architectures, compute budgets, and real-time constraints. The paper concludes with open challenges and a research agenda, highlighting gaps in sim-to-real transfer, safe and uncertainty-aware control, handling non-stationarity, near-field/wideband coupling, and standardized interfaces (e.g., O-RAN) for deployment. By mapping tasks to techniques and practical constraints, the survey offers a compact guide to what works, where, and why—aimed at accelerating robust, reproducible RIS-enabled 6G systems."
eceb2e0917bd650e2b93abf9be8a4e90af6981a8,"{'DOI': '10.1039/d5nr01562f', 'CorpusId': 280350500, 'PubMed': '40878184'}","{'id': 'd1f1139b-f076-4345-a54f-b5f7fdbe87ac', 'name': 'Nanoscale', 'type': 'journal', 'issn': '2040-3364', 'url': 'http://www.rsc.org/publishing/journals/nr/about.asp', 'alternate_urls': ['http://pubs.rsc.org/en/journals/journalissues/nr', 'https://pubs.rsc.org/en/journals/journalissues/nr']}","Applications of machine learning in high-entropy alloys: a review of recent advances in design, discovery, and characterization.",2025,0,16,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1039/d5nr01562f?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1039/d5nr01562f, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Nanoscale'},"{'bibtex': '@Article{Golbabaei2025ApplicationsOM,\n author = {Mohammad Hossein Golbabaei and Mohammad Zohrevand and Ning Zhang},\n booktitle = {Nanoscale},\n journal = {Nanoscale},\n title = {Applications of machine learning in high-entropy alloys: a review of recent advances in design, discovery, and characterization.},\n year = {2025}\n}\n'}","[{'authorId': '2190010095', 'name': 'Mohammad Hossein Golbabaei'}, {'authorId': '2022915568', 'name': 'Mohammad Zohrevand'}, {'authorId': '2374031984', 'name': 'Ning Zhang'}]","High-entropy alloys (HEAs) have attracted considerable attention due to their exceptional properties and outstanding performance across various applications. However, the vast compositional space and complex high-dimensional atomic interactions pose significant challenges in uncovering fundamental physical principles and effectively guiding alloy design. Traditional experimental approaches, often reliant on trial-and-error methods, are time-consuming, cost-prohibitive, and inefficient. To accelerate progress in this field, advanced simulation techniques and data-driven methodologies, particularly machine learning (ML) with a particular interest in nanoscale phenomena, have emerged as transformative tools for composition design, property prediction, and performance optimization. By leveraging extensive materials databases and sophisticated learning algorithms, ML facilitates the discovery of intricate patterns that conventional methods may overlook, and enables the design of HEAs with targeted properties. This review paper provides a comprehensive overview of recent advancements in ML applications for HEAs. It begins with a brief introduction of the fundamental principles of HEAs and ML methodologies, including key algorithms, databases, and evaluation metrics. The critical role of materials representation and feature engineering in ML-driven HEA design is thoroughly discussed. Furthermore, state-of-the-art developments in the integration of ML with HEA research, particularly in composition optimization, property prediction, and phase identification, are systematically reviewed. Special emphasis is placed on cutting-edge deep learning techniques, such as generative models and computer vision, which are revolutionizing the field. This study explores the application of machine learning (ML) in developing highly accurate ML interatomic potentials (MLIPs) for molecular dynamics (MD) simulations. These MLIPs have the potential to enhance the accuracy and efficiency of simulations, enabling a more precise representation of the fundamental physics governing high-entropy alloys (HEAs) at the atomic level. A critical discussion is provided, addressing both the potential advantages and the inherent limitations of this approach. This review aims to provide insights into the future directions of ML-driven HEA research, offering a roadmap for advancing material design through data-driven innovation."
b506dadbd16813a58916031a8b729fd71d593ace,"{'DOI': '10.46793/icpes25.259t', 'CorpusId': 283246986}","{'id': '38b33612-b5d6-4db4-9cae-7717c8c6fc75', 'name': 'Conference proceedings', 'alternate_names': ['Conf proc'], 'issn': '2470-7899', 'alternate_issns': ['2334-3664', '2572-6374', '2509-5099', '2414-0554', '2326-0025', '2459-7619', '2410-5465'], 'url': 'http://www.ircconferences.com/conference-proceedings.html', 'alternate_urls': ['http://www.sedsi.org/confhist.html', 'http://www.mde-conference.com/conference-proceedings/', 'http://iaccm2015.sietar.at/proceedings.html']}","RECENT ADVANCES IN ARTIFICEL INTELIGENCE AND MACHINE LEARNING FOR PROCESS, OPTIMIZATION IN TURNING",2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.46793/icpes25.259t?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.46793/icpes25.259t, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Conference proceedings : 60th Anniversary of the Association of Production Engineering of Serbia'},"{'bibtex': '@Conference{Trajković2025RECENTAI,\n author = {Aleksandar Trajković and Miloš Madić},\n booktitle = {Conference proceedings},\n journal = {Conference proceedings : 60th Anniversary of the Association of Production Engineering of Serbia},\n title = {RECENT ADVANCES IN ARTIFICEL INTELIGENCE AND MACHINE LEARNING FOR PROCESS, OPTIMIZATION IN TURNING},\n year = {2025}\n}\n'}","[{'authorId': '2378857007', 'name': 'Aleksandar Trajković'}, {'authorId': '2254521233', 'name': 'Miloš Madić'}]","The integration of artificial intelligence (AI) and machine learning (ML) into turning is transforming traditional manufacturing into a highly adaptive, data driven process. This review examines five key application areas, tool wear prediction, cutting force estimation, surface quality, energy consumption modeling and productivity optimization, highlighting the shift from static, empirical approaches to dynamic, hybrid frameworks that blend physics-based models with data driven algorithms. Advances in sensing technologies, digital twin platforms, and edge cloud integration now enable real time monitoring and multi objective optimization, enhancing both efficiency and sustainability. The analysis identifies multi modal data fusion, online adaptive learning, cross domain model transfer, and life cycle integrated decision making as emerging trends poised to drive the next generation of intelligent, sustainable, and self-optimizing turning systems"
0815841196d262234b507f52c961974321d9a9c4,"{'DOI': '10.18359/rfcb.7873', 'CorpusId': 284691140}","{'id': 'acf43a68-7845-468b-8e9c-bc76fc71fedb', 'name': 'Revista Facultad de Ciencias Básicas', 'alternate_names': ['Rev Fac Cienc Básicas'], 'issn': '1900-4699', 'url': 'https://revistas.unimilitar.edu.co/index.php/rfcb/issue/archive'}",Recent advances in drug discovery and development through machine learning : A rational drug design (2000-2024),2025,62,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.18359/rfcb.7873?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.18359/rfcb.7873, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Revista Facultad de Ciencias Básicas'},"{'bibtex': '@Article{Ruiz2025RecentAI,\n author = {Dania Geraldine Telléz Ruiz and James Guevara-Pulido},\n booktitle = {Revista Facultad de Ciencias Básicas},\n journal = {Revista Facultad de Ciencias Básicas},\n title = {Recent advances in drug discovery and development through machine learning : A rational drug design (2000-2024)},\n year = {2025}\n}\n'}","[{'authorId': '2404236679', 'name': 'Dania Geraldine Telléz Ruiz'}, {'authorId': '1396101921', 'name': 'James Guevara-Pulido'}]","The traditional drug discovery process—often hindered by high costs and long timelines—has been profoundly transformed by machine learning (ML). This review highlights major breakthroughs from 2000 to 2024, illustrating how ML has revolutionized rational drug design by enabling highly accurate predictions of pharmacological properties, from target binding to clinical toxicity. Through an analysis of QSAR and computer-aided drug design (CADD) literature, we demonstrate that ML models achieve significantly higher accuracy in predicting biological activity (ΔAUC > 0.25 compared to traditional methods), ADMET profiles, and off-target effects. These advances stem from innovations such as attention-based neural networks and physics-informed generative models. However, several challenges persist in clinical translation: (1) black-box models with limited interpretability hinder regulatory approval, (2) biased training data perpetuate inaccuracies in polypharmacology prediction, and (3) overfitting to synthetic datasets fails to capture real-world biological complexity. Case studies reveal that ML-predicted candidates occasionally underperform in vivo due to simplified assumptions about protein–ligand dynamics. Despite these limitations, the overall trajectory remains highly promising. Emerging methodologies—such as federated learning for multi-institutional data sharing, hybrid quantum ML for molecular dynamics, and mechanistic embeddings—are bridging th gap between in silico predictions and experimental outcomes. By embracing these advances, ML is not only accelerating drug discovery but also redefining it. Recent trials report a 40% reduction in preclinical failure rates, and first-in-class drugs, including ML-designed kinase inhibitors, are beginning to emerge.Ultimately, this review argues that ML’s greatest value lies in empowering medicinal chemists with decision-focused tools that integrate computational scalability and biochemical accuracy— ushering in a new era of precision drug design."
e57b3c85a4e361e80f143c608bd52a0201ebc909,"{'PubMedCentral': '11825948', 'DOI': '10.1038/s41467-025-56034-2', 'CorpusId': 276341953, 'PubMed': '39948344'}","{'id': '43b3f0f9-489a-4566-8164-02fafde3cd98', 'name': 'Nature Communications', 'type': 'journal', 'alternate_names': ['Nat Commun'], 'issn': '2041-1723', 'url': 'https://www.nature.com/ncomms/', 'alternate_urls': ['http://www.nature.com/ncomms/about/index.html', 'http://www.nature.com/ncomms/index.html']}",Coarse-graining network flow through statistical physics and machine learning,2025,82,16,"{'url': 'https://doi.org/10.1038/s41467-025-56034-2', 'status': 'GOLD', 'license': 'CCBYNCND', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC11825948, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Nature Communications', 'volume': '16'}","{'bibtex': '@Article{Zhang2025CoarsegrainingNF,\n author = {Zhang Zhang and Arsham Ghavasieh and Jiang Zhang and Manlio De Domenico},\n booktitle = {Nature Communications},\n journal = {Nature Communications},\n title = {Coarse-graining network flow through statistical physics and machine learning},\n volume = {16},\n year = {2025}\n}\n'}","[{'authorId': '7969459', 'name': 'Zhang Zhang'}, {'authorId': '1482547883', 'name': 'Arsham Ghavasieh'}, {'authorId': '2232924669', 'name': 'Jiang Zhang'}, {'authorId': '46617468', 'name': 'Manlio De Domenico'}]","Information dynamics plays a crucial role in complex systems, from cells to societies. Recent advances in statistical physics have made it possible to capture key network properties, such as flow diversity and signal speed, using entropy and free energy. However, large system sizes pose computational challenges. We use graph neural networks to identify suitable groups of components for coarse-graining a network and achieve a low computational complexity, suitable for practical application. Our approach preserves information flow even under significant compression, as shown through theoretical analysis and experiments on synthetic and empirical networks. We find that the model merges nodes with similar structural properties, suggesting they perform redundant roles in information transmission. This method enables low-complexity compression for extremely large networks, offering a multiscale perspective that preserves information flow in biological, social, and technological networks better than existing methods mostly focused on network structure. Information dynamics are key in complex systems. The authors apply graph neural networks to group components for coarse-graining networks, reducing computational complexity. Their approach preserves information flow under compression, being effective for large networks."
