paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
31734e066237bb2a4d458dbde7135c8828d36ba7,"{'DBLP': 'journals/air/LuoZWLWLSL25', 'DOI': '10.1007/s10462-025-11322-7', 'CorpusId': 280401971}","{'id': 'ea8553fe-2467-4367-afee-c4deb3754820', 'name': 'Artificial Intelligence Review', 'type': 'journal', 'alternate_names': ['Artif Intell Rev'], 'issn': '0269-2821', 'url': 'https://link.springer.com/journal/10462'}",Physics-informed neural networks for PDE problems: a comprehensive review,2025,152,126,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/s10462-025-11322-7?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/s10462-025-11322-7, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': 'Artificial Intelligence Review', 'volume': '58'}","{'bibtex': '@Article{Luo2025PhysicsinformedNN,\n author = {Kuang Luo and Jingshan Zhao and Yingping Wang and Jiayao Li and Junjie Wen and Jiong Liang and H. Soekmadji and Shaolin Liao},\n booktitle = {Artificial Intelligence Review},\n journal = {Artificial Intelligence Review},\n title = {Physics-informed neural networks for PDE problems: a comprehensive review},\n volume = {58},\n year = {2025}\n}\n'}","[{'authorId': '2212475040', 'name': 'Kuang Luo'}, {'authorId': '2334227762', 'name': 'Jingshan Zhao'}, {'authorId': '2374282588', 'name': 'Yingping Wang'}, {'authorId': '2364823120', 'name': 'Jiayao Li'}, {'authorId': '2349975950', 'name': 'Junjie Wen'}, {'authorId': '2365129651', 'name': 'Jiong Liang'}, {'authorId': '9423017', 'name': 'H. Soekmadji'}, {'authorId': '2257050507', 'name': 'Shaolin Liao'}]",
a5a40693656d470a329940521a5d007d4d905ac1,"{'DBLP': 'journals/jcam/ZhuHL26', 'ArXiv': '2502.19290', 'DOI': '10.48550/arXiv.2502.19290', 'CorpusId': 276617607}","{'id': '0dd1e980-f66a-40ab-9f04-626424b1a7d8', 'name': 'Journal of Computational and Applied Mathematics', 'type': 'journal', 'alternate_names': ['J Comput Appl Math'], 'issn': '0377-0427', 'alternate_issns': ['0771-050X'], 'url': 'http://www.elsevier.com/wps/find/journaldescription.cws_home/505613/description#description', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/03770427', 'https://www.journals.elsevier.com/journal-of-computational-and-applied-mathematics/']}",PhysicsSolver: Transformer-Enhanced Physics-Informed Neural Networks for Forward and Forecasting Problems in Partial Differential Equations,2025,34,8,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2502.19290, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'J. Comput. Appl. Math.', 'pages': '116900', 'volume': '473'}","{'bibtex': '@Article{Zhu2025PhysicsSolverTP,\n author = {Zhenyi Zhu and Yuchen Huang and Liu Liu},\n booktitle = {Journal of Computational and Applied Mathematics},\n journal = {J. Comput. Appl. Math.},\n pages = {116900},\n title = {PhysicsSolver: Transformer-Enhanced Physics-Informed Neural Networks for Forward and Forecasting Problems in Partial Differential Equations},\n volume = {473},\n year = {2025}\n}\n'}","[{'authorId': '2312825188', 'name': 'Zhenyi Zhu'}, {'authorId': '2265943735', 'name': 'Yuchen Huang'}, {'authorId': '2312675645', 'name': 'Liu Liu'}]","Time-dependent partial differential equations are a significant class of equations that describe the evolution of various physical phenomena over time. One of the open problems in scientific computing is predicting the behaviour of the solution outside the given temporal region. Most traditional numerical methods are applied to a given time-space region and can only accurately approximate the solution of the given region. To address this problem, many deep learning-based methods, basically data-driven and data-free approaches, have been developed to solve these problems. However, most data-driven methods require a large amount of data, which consumes significant computational resources and fails to utilize all the necessary information embedded underlying the partial differential equations (PDEs). Moreover, data-free approaches such as Physics-Informed Neural Networks (PINNs) may not be that ideal in practice, as traditional PINNs, which primarily rely on multilayer perceptrons (MLPs) and convolutional neural networks (CNNs), tend to overlook the crucial temporal dependencies inherent in real-world physical systems. We propose a method denoted as \textbf{PhysicsSolver} that merges the strengths of two approaches: data-free methods that can learn the intrinsic properties of physical systems without using data, and data-driven methods, which are effective at making predictions. Extensive numerical experiments have demonstrated the efficiency and robustness of our proposed method. We provide the code at \href{https://github.com/PhysicsSolver/PhysicsSolver}{https://github.com/PhysicsSolver}."
b03cc17e015bf8514afdc1619dc4ad7f6d952045,"{'DOI': '10.46632/jame/4/3/6', 'CorpusId': 282725681}",,"Comparative Analysis of Physics-Informed Neural Networks Using TOPSIS Balancing Efficiency, Interpretability, and Physical Law Integration",2025,34,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.46632/jame/4/3/6?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.46632/jame/4/3/6, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'REST Journal on Advances in Mechanical Engineering'},"{'bibtex': '@Article{None,\n booktitle = {REST Journal on Advances in Mechanical Engineering},\n journal = {REST Journal on Advances in Mechanical Engineering},\n title = {Comparative Analysis of Physics-Informed Neural Networks Using TOPSIS Balancing Efficiency, Interpretability, and Physical Law Integration},\n year = {2025}\n}\n'}",[],"This study evaluates the performance of Physics-Informed Neural Networks (PINNs) and related methods in scientific computing and engineering applications using the Technique of Selection by Ideal Solution (TOPSIS) method. The analysis compares traditional numerical methods, machine learning models, hybrid physical-ML models, Gaussian process regression, and index regression on four key criteria: data efficiency, interpretability, computational costs, and convergence of physical laws. The results reveal that indexed regression emerges as the best ranking approach, demonstrating well-balanced performance across all criteria. It excels in data efficiency and interpretation while keeping reasonable computational costs and adhering to the laws of physics. Gaussian process regression is second, particularly robust in interpretation, making it suitable for applications requiring transparent decision processes. Hybrid physics-ML models show strong performance, especially in the integration of data efficiency and physics laws, effectively combining traditional physics-based modeling with machine learning capabilities. Traditional numerical methods, while valuable in some contexts, show limitations in data efficiency and interpretation compared to newer approaches. Pure machine learning models rank very low, suggesting that data-driven approaches may not be sufficient for problems where physical laws play an important role. This study underscores the importance of balancing multiple criteria when selecting modeling approaches for physics-informed problems. This highlights the trend towards hybrid methods that combine domain knowledge with data-driven learning, addressing the limitations of purely data-driven or physics-based approaches. These findings provide valuable insights to researchers and practitioners in scientific prediction and engineering, future modeling of complex physical systems, and approaches that effectively combine field knowledge with data-driven techniques to optimize complex physical phenomena."
71682e6aefbe05a7459c3d0a24b2cda2ceb91f57,"{'DOI': '10.1109/ACIRA67680.2025.11334764', 'CorpusId': 284920772}",,DAE-HomPINN: Physics-Informed Neural Networks for Differential-Algebraic Equations Using Homotopy Method,2025,20,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ACIRA67680.2025.11334764?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ACIRA67680.2025.11334764, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 International Conference on Advanced Computing and Intelligent Robotics Applications (ACIRA)', 'pages': '30-37'}","{'bibtex': '@Conference{Xie2025DAEHomPINNPN,\n author = {Manqi Xie and Juan Tang and Xiaoqing Zeng and Xiaolin Qin},\n booktitle = {2025 International Conference on Advanced Computing and Intelligent Robotics Applications (ACIRA)},\n journal = {2025 International Conference on Advanced Computing and Intelligent Robotics Applications (ACIRA)},\n pages = {30-37},\n title = {DAE-HomPINN: Physics-Informed Neural Networks for Differential-Algebraic Equations Using Homotopy Method},\n year = {2025}\n}\n'}","[{'authorId': '2357709205', 'name': 'Manqi Xie'}, {'authorId': '2260458670', 'name': 'Juan Tang'}, {'authorId': '2356703827', 'name': 'Xiaoqing Zeng'}, {'authorId': '2268233397', 'name': 'Xiaolin Qin'}]","Differential-Algebraic equations (DAEs) are hybrid dynamic systems formed coupling differential and algebraic equations via shared variables. They describe the dynamics of multiphysics-coupled systems and are widely used to model complex dynamical systems across domains. As an emerging tool at the intersection of deep learning and scientific computing, physics-informed neural networks (PINNs) show great potential to solve DAEs. However, they often struggle with gradient instability and insufficient convergence when handling high-index DAEs. To address this limitation, we integrate homotopy methods with PINNs to propose a novel physics-informed neural network framework. In this work, the L2 relative errors of all variables in the studied DAEs have been reduced by 2-3 orders of magnitude compared with the traditional PINNs, and the absolute errors reach 10-5 to 10-4. Our model demonstrates the ability to handle DAEs, and offers a viable approach to solve high-index problems in the field of physics-informed machine learning."
f9b1332ce89c600c046fbf6d919a7c1b45b6e1b7,"{'DBLP': 'journals/corr/abs-2501-17281', 'ArXiv': '2501.17281', 'DOI': '10.48550/arXiv.2501.17281', 'CorpusId': 275954256}","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}",Stiff Transfer Learning for Physics-Informed Neural Networks,2025,0,4,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2501.17281, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'ArXiv', 'volume': 'abs/2501.17281'}","{'bibtex': '@Article{Seiler2025StiffTL,\n author = {E. Seiler and Wanzhou Lei and P. Protopapas},\n booktitle = {arXiv.org},\n journal = {ArXiv},\n title = {Stiff Transfer Learning for Physics-Informed Neural Networks},\n volume = {abs/2501.17281},\n year = {2025}\n}\n'}","[{'authorId': '145623759', 'name': 'E. Seiler'}, {'authorId': '2268395677', 'name': 'Wanzhou Lei'}, {'authorId': '1735677', 'name': 'P. Protopapas'}]","Stiff differential equations are prevalent in various scientific domains, posing significant challenges due to the disparate time scales of their components. As computational power grows, physics-informed neural networks (PINNs) have led to significant improvements in modeling physical processes described by differential equations. Despite their promising outcomes, vanilla PINNs face limitations when dealing with stiff systems, known as failure modes. In response, we propose a novel approach, stiff transfer learning for physics-informed neural networks (STL-PINNs), to effectively tackle stiff ordinary differential equations (ODEs) and partial differential equations (PDEs). Our methodology involves training a Multi-Head-PINN in a low-stiff regime, and obtaining the final solution in a high stiff regime by transfer learning. This addresses the failure modes related to stiffness in PINNs while maintaining computational efficiency by computing""one-shot""solutions. The proposed approach demonstrates superior accuracy and speed compared to PINNs-based methods, as well as comparable computational efficiency with implicit numerical methods in solving stiff-parameterized linear and polynomial nonlinear ODEs and PDEs under stiff conditions. Furthermore, we demonstrate the scalability of such an approach and the superior speed it offers for simulations involving initial conditions and forcing function reparametrization."
68ea915f35f0e6e6b282faaf3aa86f1b9a197882,"{'ArXiv': '2503.06403', 'CorpusId': 276903643}",,Global physics-informed neural networks (GPINNs): from local point-wise constraint to global nodal association,2025,18,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2503.06403, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,"{'bibtex': '@Inproceedings{Chen2025GlobalPN,\n author = {Feng Chen and Yiran Meng and Kegan Li and Chao Yang and Jiong Yang},\n title = {Global physics-informed neural networks (GPINNs): from local point-wise constraint to global nodal association},\n year = {2025}\n}\n'}","[{'authorId': '2349726610', 'name': 'Feng Chen'}, {'authorId': '2350526138', 'name': 'Yiran Meng'}, {'authorId': '2340463604', 'name': 'Kegan Li'}, {'authorId': '2253450540', 'name': 'Chao Yang'}, {'authorId': '2289773786', 'name': 'Jiong Yang'}]","Recently, physics-informed neural networks (PINNs) and their variants have gained significant popularity as a scientific computing method for solving partial differential equations (PDEs), whereas accuracy is still its main shortcoming. Despite numerous development efforts, there is no literature demonstrating that these methods surpass classic numerical algorithms in solving the forward issue. In this paper, by analyzing the disparities between PINNs and traditional numerical methods based on mesh discretization, we investigate the underlying causes for the in adequate precision of PINNs and introduce a novel approach named global physics-informed neural networks (GPINNs). Inspired by the crucial concept of global nodal association in conventional numerical algorithms, GPINNs leverages the prior field distribution information from pre-trained PINNs to estimate the association weights between arbitrary nodes in space. GPINNs can not only be regarded as a meshless approach but also be demonstrated, both theoretically and in practical circumstances, to have the ability of second-order convergence when trained with equidistant nodes. Overall, GPINNs may be seen as an ideal approach to inheriting the merits of scientific machine learning (SciML) and conventional numerical computing, which also represent the first SciML algorithm to surpass standard numerical methods in terms of accuracy."
dd00934adfc64b9e5ed369ad222a99b558541a3d,"{'ArXiv': '2512.07755', 'CorpusId': 283694341}",,Physics-Informed Neural Networks for Joint Source and Parameter Estimation in Advection-Diffusion Equations,2025,49,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2512.07755, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,"{'bibtex': '@Inproceedings{Anague2025PhysicsInformedNN,\n author = {Brenda Anague and Bamdad Hosseini and Issa Karambal and Jean Medard Ngnotchouye},\n title = {Physics-Informed Neural Networks for Joint Source and Parameter Estimation in Advection-Diffusion Equations},\n year = {2025}\n}\n'}","[{'authorId': '2397381407', 'name': 'Brenda Anague'}, {'authorId': '2284404807', 'name': 'Bamdad Hosseini'}, {'authorId': '2336543293', 'name': 'Issa Karambal'}, {'authorId': '2394079945', 'name': 'Jean Medard Ngnotchouye'}]","Recent studies have demonstrated the success of deep learning in solving forward and inverse problems in engineering and scientific computing domains, such as physics-informed neural networks (PINNs). Source inversion problems under sparse measurements for parabolic partial differential equations (PDEs) are particularly challenging to solve using PINNs, due to their severe ill-posedness and the multiple unknowns involved including the source function and the PDE parameters. Although the neural tangent kernel (NTK) of PINNs has been widely used in forward problems involving a single neural network, its extension to inverse problems involving multiple neural networks remains less explored. In this work, we propose a weighted adaptive approach based on the NTK of PINNS including multiple separate networks representing the solution, the unknown source, and the PDE parameters. The key idea behind our methodology is to simultaneously solve the joint recovery of the solution, the source function along with the unknown parameters thereby using the underlying partial differential equation as a constraint that couples multiple unknown functional parameters, leading to more efficient use of the limited information in the measurements. We apply our method on the advection-diffusion equation and we present various 2D and 3D numerical experiments using different types of measurements data that reflect practical engineering systems. Our proposed method is successful in estimating the unknown source function, the velocity and diffusion parameters as well as recovering the solution of the equation, while remaining robust to additional noise in the measurements."
90553a14bc42fb4a781b722837b9bef63d0bafe8,"{'DBLP': 'journals/corr/abs-2505-20361', 'ArXiv': '2505.20361', 'DOI': '10.48550/arXiv.2505.20361', 'CorpusId': 278911616}","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}",Solving Euler equations with Multiple Discontinuities via Separation-Transfer Physics-Informed Neural Networks,2025,23,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2505.20361, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'ArXiv', 'volume': 'abs/2505.20361'}","{'bibtex': '@Article{Wang2025SolvingEE,\n author = {Chuanxing Wang and Hui Luo and Kai Wang and Guohuai Zhu and Mingxing Luo},\n booktitle = {arXiv.org},\n journal = {ArXiv},\n title = {Solving Euler equations with Multiple Discontinuities via Separation-Transfer Physics-Informed Neural Networks},\n volume = {abs/2505.20361},\n year = {2025}\n}\n'}","[{'authorId': '2346910224', 'name': 'Chuanxing Wang'}, {'authorId': '2385122769', 'name': 'Hui Luo'}, {'authorId': '2346949645', 'name': 'Kai Wang'}, {'authorId': '2346465140', 'name': 'Guohuai Zhu'}, {'authorId': '2362055318', 'name': 'Mingxing Luo'}]","Despite the remarkable progress of physics-informed neural networks (PINNs) in scientific computing, they continue to face challenges when solving hydrodynamic problems with multiple discontinuities. In this work, we propose Separation-Transfer Physics Informed Neural Networks (ST-PINNs) to address such problems. By sequentially resolving discontinuities from strong to weak and leveraging transfer learning during training, ST-PINNs significantly reduce the problem complexity and enhance solution accuracy. To the best of our knowledge, this is the first study to apply a PINNs-based approach to the two-dimensional unsteady planar shock refraction problem, offering new insights into the application of PINNs to complex shock-interface interactions. Numerical experiments demonstrate that ST-PINNs more accurately capture sharp discontinuities and substantially reduce solution errors in hydrodynamic problems involving multiple discontinuities."
c6e741a7f5cd57aafb7abd63bc5636a0aa4d32eb,"{'DOI': '10.1088/1674-1056/adf827', 'CorpusId': 280568790}","{'id': '78582e7f-1971-403b-b32b-7aaa9e665219', 'name': 'Chinese Physics B', 'type': 'journal', 'alternate_names': ['Chin Phys B'], 'issn': '1674-1056', 'url': 'http://iopscience.iop.org/1674-1056/', 'alternate_urls': ['http://iopscience.iop.org/cpb']}",LT-PINNs: Physics-informed neural networks based on Laplace transform for solving Caputo-type fractional partial differential equations,2025,5,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1088/1674-1056/adf827?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1088/1674-1056/adf827, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Chinese Physics B', 'volume': '35'}","{'bibtex': '@Article{张2025LTPINNsPN,\n author = {R. Zhang 张 and F. Li 李 and Jianqiang 建强 Liu 刘},\n booktitle = {Chinese Physics B},\n journal = {Chinese Physics B},\n title = {LT-PINNs: Physics-informed neural networks based on Laplace transform for solving Caputo-type fractional partial differential equations},\n volume = {35},\n year = {2025}\n}\n'}","[{'authorId': '2277914541', 'name': 'R. Zhang 张'}, {'authorId': '2259690860', 'name': 'F. Li 李'}, {'authorId': '2417006336', 'name': 'Jianqiang 建强 Liu 刘'}]","The solution of fractional partial differential equations (PDEs) is an important topic in scientific computing. However, the traditional physics-informed neural networks (PINNs) have problems of memory overflow and low computational efficiency when the derivative is discretized for a long time. Therefore in this paper we innovatively propose a framework of Laplace transform physics-informed neural networks (LT-PINNs), which is dedicated to solving the forward and inverse problems of Caputo-type fractional PDEs. The core of this method is to use the Laplace transform to construct the loss function, which skillfully avoids the dilemma that the fractional derivative operator in traditional PINNs is difficult to operate effectively. By studying the benchmark problem of parameter α in a series of different scenarios we verify that LT-PINNs can predict the solution of Caputo-type fractional PDEs more accurately than fractional PINNs. The excellent performance of LT-PINNs in identifying inverse problems involving fractional order, convection and diffusion coefficients is further explored. At the same time, the effects of network structure, the number of sampling points and noise on the LT-PINNs method are analyzed in detail. The results show that the method can predict the solution of the equation satisfactorily even under severe noise interference. The proposed LT-PINNs framework opens up a new path for efficiently solving fractional PDEs. It shows significant advantages in improving computational efficiency, reducing memory usage and dealing with complex noise environments. It is expected to promote the further development of fractional PDEs in many fields."
442c01757a67efe11c94106d1afa02ba9bd6309f,"{'DOI': '10.21608/sjsci.2025.355778.1256', 'CorpusId': 279084104}","{'id': '76bb9421-4e1e-42d6-bc79-253fe589e49f', 'name': 'Sohag Journal of Sciences', 'type': 'journal', 'alternate_names': ['Sohag J Sci'], 'issn': '2357-0938'}",Exploring physics-informed neural networks to compute definite integrals through differential equations,2025,8,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.21608/sjsci.2025.355778.1256?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.21608/sjsci.2025.355778.1256, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Sohag Journal of Sciences'},"{'bibtex': '@Article{Abdalla2025ExploringPN,\n author = {Aboelnour N. Abdalla and Ibrahim A. Abbas and hassan Z. Khalifa},\n booktitle = {Sohag Journal of Sciences},\n journal = {Sohag Journal of Sciences},\n title = {Exploring physics-informed neural networks to compute definite integrals through differential equations},\n year = {2025}\n}\n'}","[{'authorId': '2151846450', 'name': 'Aboelnour N. Abdalla'}, {'authorId': '2364778281', 'name': 'Ibrahim A. Abbas'}, {'authorId': '2364795767', 'name': 'hassan Z. Khalifa'}]",": This research focuses on the application of physics-informed neural networks (PINNs) in the field of definite integral evaluation. PINNs is the name assigned to artificial neural networks. They are different from standard neural networks in that they include loss terms that explain the physics of the issue. This work investigates the effectiveness of physics-informed neural networks in accurately computing definite integrals, a critical process in many scientific and engineering fields. The study aims to assess the precision and effectiveness of PINNs in evaluating definite integrals in contrast to traditional integration techniques or numerical integral methods. Discover how mathematical analysis computing methods, particularly those involving definite integral computations, may be transformed by neural networks. This study adds to the developing field of artificial intelligence (AI) in mathematical computations by utilizing the built-in characteristics of PINNs, such as their capacity to learn from data and integrate existing knowledge. The results of this study offer a solid basis for upcoming advancements in neural network-based techniques for mathematical modeling, numerical analysis, and other scientific fields."
