paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
3fb84a786157f1eff77ab18b6dc55e681f348b30,"{'DOI': '10.36948/ijfmr.2025.v07i01.37309', 'CorpusId': 276726932}","{'id': '0eedef98-be10-4507-88ab-1d0a9dd75d1d', 'name': 'International Journal For Multidisciplinary Research', 'type': 'journal', 'alternate_names': ['Int j multidiscip res', 'Int J Multidiscip Res', 'International journal of multidisciplinary research'], 'issn': '2582-2160', 'alternate_issns': ['1934-6840'], 'url': 'http://www.virginiaresearchinstitute.com/'}","Advancements in Physiotherapy: A Systematic Review of AI, Robotics, and Wearable Sensor Technologies",2025,25,3,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.36948/ijfmr.2025.v07i01.37309?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.36948/ijfmr.2025.v07i01.37309, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'International Journal For Multidisciplinary Research'},"{'bibtex': '@Article{Danishta2025AdvancementsIP,\n author = {Danishta and Mayank Kumar and Anchit Guganani},\n booktitle = {International Journal For Multidisciplinary Research},\n journal = {International Journal For Multidisciplinary Research},\n title = {Advancements in Physiotherapy: A Systematic Review of AI, Robotics, and Wearable Sensor Technologies},\n year = {2025}\n}\n'}","[{'authorId': '2309292122', 'name': 'Danishta'}, {'authorId': '2309338795', 'name': 'Mayank Kumar'}, {'authorId': '2348413964', 'name': 'Anchit Guganani'}]","Background
The integration of artificial intelligence (AI), robotics, and wearable sensor technologies in physiotherapy has transformed rehabilitation by improving patient assessment, treatment personalization, and recovery monitoring. These advancements enhance clinical decision-making, increase accessibility to physiotherapy, and optimize patient outcomes. However, cost, ethical considerations, and technological limitations require further exploration.
Methods
A systematic review was conducted by analyzing peer-reviewed articles published in the last decade from databases such as PubMed, IEEE Xplore, and Scopus. Studies focusing on AI-driven rehabilitation, robotic-assisted therapy, and wearable sensor applications in physiotherapy were included. Data were synthesized to assess the effectiveness, challenges, and future potential of these technologies.
Results
The findings indicate that AI enhances diagnosis and treatment planning through machine learning and predictive analytics, while robotic devices, including exoskeletons and assistive rehabilitation robots, significantly improve motor function in patients with musculoskeletal and neurological impairments. Wearable sensors provide real-time monitoring, facilitating remote physiotherapy and data-driven interventions. Despite these advancements, limitations such as high implementation costs, patient adherence, and data security concerns remain.
Conclusion
AI, robotics, and wearable sensors are revolutionizing physiotherapy by offering precise, personalized, and accessible rehabilitation solutions. While these technologies demonstrate promising results, further research is needed to address existing barriers and enhance their clinical integration. Future developments should focus on cost-effectiveness, ethical considerations, and user-friendly designs to maximize patient benefits and healthcare efficiency."
5ce395506ebd180599e8573f06781e80a0400c2c,"{'DBLP': 'journals/ett/PoongodiKSK25', 'DOI': '10.1002/ett.70081', 'CorpusId': 276942698}","{'id': '9ee7345a-5e9f-4002-9880-d6b27d275524', 'name': 'Transactions on Emerging Telecommunications Technologies', 'type': 'journal', 'alternate_names': ['European Transactions on Telecommunications', 'Eur Trans Telecommun', 'TETT', 'Trans Emerg Telecommun Technol'], 'issn': '1120-3862', 'alternate_issns': ['2161-3915', '1124-318X'], 'url': 'http://www3.interscience.wiley.com/cgi-bin/jhome/104087069', 'alternate_urls': ['http://eu.wiley.com/WileyCDA/WileyTitle/productCd-ETT.html', 'http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1541-8251', 'https://onlinelibrary.wiley.com/journal/21613915', 'https://onlinelibrary.wiley.com/journal/15418251']}",Hybrid AI‐Driven Bio‐Inspired Wearable Sensors With Aquasense AI Technology for Multimodal Health Monitoring and Rehabilitation in Dynamic Environments,2025,35,15,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1002/ett.70081?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1002/ett.70081, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Transactions on Emerging Telecommunications Technologies', 'volume': '36'}","{'bibtex': '@Article{Poongodi2025HybridAB,\n author = {J. Poongodi and K. Kavitha and S. Sathish and R. L. Kumar},\n booktitle = {Transactions on Emerging Telecommunications Technologies},\n journal = {Transactions on Emerging Telecommunications Technologies},\n title = {Hybrid AI‐Driven Bio‐Inspired Wearable Sensors With Aquasense AI Technology for Multimodal Health Monitoring and Rehabilitation in Dynamic Environments},\n volume = {36},\n year = {2025}\n}\n'}","[{'authorId': '2222115383', 'name': 'J. Poongodi'}, {'authorId': '2267796503', 'name': 'K. Kavitha'}, {'authorId': '143649033', 'name': 'S. Sathish'}, {'authorId': '2214441075', 'name': 'R. L. Kumar'}]","AquaSense AI is a bio‐inspired, wearable sensor system that enables a paradigmatic shift in healthcare and physiotherapy, emulating nature's sensory capabilities of aquatic animals. Flexible, waterproof sensors are used to detect human motion, balance, and posture on land and in water. AquaSense AI is perfect for application in swimming pools and hydrotherapy sessions. AquaSense AI delivers real‐time, high‐precision feedback to enable effective rehabilitation, fall prevention, and fitness monitoring. In Under water, these sensors follow a person's posture and the coordination of their limbs through the detection of pressure changes, while on land, they monitor gait, posture, and balance. The sophisticated AI algorithms within the system, including Hierarchical Adaptive Neural Network (HANN) and Multimodal Self‐Learning Framework, adjust sensor sensitivity to the environment and provide personalized feedback over time, continuously adapting to the movements and rehabilitation progress of the user. The bio‐inspired design, adaptive AI, and real‐time predictive analytics can provide dual functionality at clinical and fitness applications, improving safety, rehabilitation outcomes, and general health monitoring in diverse environments."
e701ce2b8f3d86449949f33e7dd00fe5713d8fdb,"{'DBLP': 'journals/corr/abs-2512-14329', 'DOI': '10.48550/arXiv.2512.14329', 'CorpusId': 285048766}","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}",A data-physics hybrid generative model for patient-specific post-stroke motor rehabilitation using wearable sensor data,2025,47,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.48550/arXiv.2512.14329?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.48550/arXiv.2512.14329, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': 'ArXiv', 'volume': 'abs/2512.14329'}","{'bibtex': '@Article{Dai2025ADH,\n author = {Yanning Dai and Chenyu Tang and Ruizhi Zhang and Wenyu Yang and Yilan Zhang and Yuhui Wang and Junliang Chen and Xuhang Chen and Ruimou Xie and Yangyue Cao and Qiaoying Li and Jin Cao and Tao Li and Hubin Zhao and Yu Pan and A. Nathan and Xin Gao and Peter Smielewski and Shuo Gao},\n booktitle = {arXiv.org},\n journal = {ArXiv},\n title = {A data-physics hybrid generative model for patient-specific post-stroke motor rehabilitation using wearable sensor data},\n volume = {abs/2512.14329},\n year = {2025}\n}\n'}","[{'authorId': '50437103', 'name': 'Yanning Dai'}, {'authorId': '2243996649', 'name': 'Chenyu Tang'}, {'authorId': '2333254922', 'name': 'Ruizhi Zhang'}, {'authorId': '2352812122', 'name': 'Wenyu Yang'}, {'authorId': '2312338401', 'name': 'Yilan Zhang'}, {'authorId': '2399102016', 'name': 'Yuhui Wang'}, {'authorId': '2368314309', 'name': 'Junliang Chen'}, {'authorId': '2306477538', 'name': 'Xuhang Chen'}, {'authorId': '2265310783', 'name': 'Ruimou Xie'}, {'authorId': '2399807040', 'name': 'Yangyue Cao'}, {'authorId': '2333317263', 'name': 'Qiaoying Li'}, {'authorId': '2332715863', 'name': 'Jin Cao'}, {'authorId': '2399104213', 'name': 'Tao Li'}, {'authorId': '2407139808', 'name': 'Hubin Zhao'}, {'authorId': '2398926970', 'name': 'Yu Pan'}, {'authorId': '2112874941', 'name': 'A. Nathan'}, {'authorId': '2395752750', 'name': 'Xin Gao'}, {'authorId': '2367791085', 'name': 'Peter Smielewski'}, {'authorId': '2312893656', 'name': 'Shuo Gao'}]",
8cd4b3a93c8fae43d1e53e510166efd802277351,"{'PubMedCentral': '13033610', 'DOI': '10.7759/cureus.104417', 'CorpusId': 286199570}","{'id': '87c855fc-c59a-4443-832a-e5b1ca14b9f3', 'name': 'Cureus', 'type': 'journal', 'issn': '2168-8184', 'url': 'https://www.cureus.com/'}",Integrating a Smart Sensor Chip and AI Predictive Analytics Into the Sehhaty App to Enhance Diabetes Management in Saudi Arabia,2026,3,0,"{'url': '', 'status': None, 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC13033610, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Cureus', 'volume': '18'}","{'bibtex': '@Article{ALqunisi2026IntegratingAS,\n author = {Abdullah F ALqunisi},\n booktitle = {Cureus},\n journal = {Cureus},\n title = {Integrating a Smart Sensor Chip and AI Predictive Analytics Into the Sehhaty App to Enhance Diabetes Management in Saudi Arabia},\n volume = {18},\n year = {2026}\n}\n'}","[{'authorId': '2421389255', 'name': 'Abdullah F ALqunisi'}]","Diabetes is a major public health challenge in the Kingdom of Saudi Arabia. A substantial proportion of adults are affected, placing significant pressure on the healthcare system. Although digital health initiatives have expanded in recent years, patients continue to encounter barriers to adopting mobile health (mHealth) technologies, including technical limitations, usability concerns, and privacy issues. This article proposes a comprehensive digital health solution for diabetes management that enhances the national health application Sehhaty by integrating two complementary technologies: a smart sensor chip (SSC) for continuous physiological monitoring and AI-based predictive analytics (AIPA) for forecasting glycemic trends. The aim is to strengthen proactive and personalized diabetes care. An Agile development framework consisting of two sprints is proposed. The first sprint integrates a wearable SSC into the Sehhaty ecosystem to transmit real-time glucose and vital sign data through secure wireless communication. The second sprint develops AIPA using machine-learning models to analyze data patterns and predict glycemic fluctuations. System requirements were identified through stakeholder engagement, and the architecture includes a secure cloud backend, structured data flow, and user-centered interface design. The integration of SSC and AIPA into Sehhaty could enhance diabetes management by enabling continuous monitoring, personalized alerts, and earlier intervention. The system design prioritizes reliability, user-centered usability, and data privacy safeguards to address common barriers to digital health adoption. Consideration of perceived usefulness, ease of use, trust, and accessibility informed the development strategy. The proposed SSC-AIPA framework has the potential to transform Sehhaty into an advanced diabetes management platform that supports early detection, predictive insights, and individualized care. Future work will include prototyping, usability evaluation, and clinical validation."
a3338638b59340b367cb1f842190671d704ab22e,"{'DOI': '10.1016/j.apmr.2025.12.018', 'CorpusId': 284363594, 'PubMed': '41475427'}","{'id': '2fcd83d8-8f58-4d0a-a637-772a2640962b', 'name': 'Archives of Physical Medicine and Rehabilitation', 'type': 'journal', 'alternate_names': ['Arch Phys Med Rehabilitation'], 'issn': '0003-9993', 'url': 'http://www.elsevier.com/wps/find/journaldescription.cws_home/623354/description#description', 'alternate_urls': ['http://www.sciencedirect.com/science/journal/00039993']}",Wearable Sensor-Based Fine-Grained and Comprehensive Upper Extremity Motor Function Assessment for Post-Stroke Rehabilitation.,2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.apmr.2025.12.018?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.apmr.2025.12.018, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Archives of physical medicine and rehabilitation'},"{'bibtex': '@Article{Zhon2025WearableSF,\n author = {Weinan Zhon and Ming Lv and Weinan Zhou and Guoxing Liu and Jiping Wang and Yan Zhang and Liquan Guo},\n booktitle = {Archives of Physical Medicine and Rehabilitation},\n journal = {Archives of physical medicine and rehabilitation},\n title = {Wearable Sensor-Based Fine-Grained and Comprehensive Upper Extremity Motor Function Assessment for Post-Stroke Rehabilitation.},\n year = {2025}\n}\n'}","[{'authorId': '2401947635', 'name': 'Weinan Zhon'}, {'authorId': '2338128498', 'name': 'Ming Lv'}, {'authorId': '2356370599', 'name': 'Weinan Zhou'}, {'authorId': '2314687040', 'name': 'Guoxing Liu'}, {'authorId': '2109493316', 'name': 'Jiping Wang'}, {'authorId': '2274264504', 'name': 'Yan Zhang'}, {'authorId': '3374182', 'name': 'Liquan Guo'}]","OBJECTIVE
To develop and validate a wearable sensor-based, fine-grained assessment framework for quantitative evaluation and prediction of upper extremity motor function in post-stroke patients.


DESIGN
Validation cohort study with modeling of clinical predictions.


SETTING
Hospital-based rehabilitation clinic.


PARTICIPANTS
80 post-stroke patients with upper extremity motor dysfunction were recruited and underwent routine Fugl-Meyer Assessment for Upper Extremity (FMA-UE) evaluation. Upper extremity kinematic data and corresponding clinical labels were collected using a wearable motion acquisition system.


INTERVENTIONS
Not applicable.


MAIN OUTCOME MEASURE(S)
Agreement between clinician-rated FMA-UE scores and system-predicted FMA-UE scores.


RESULTS
Wearable kinematic data and corresponding clinician-rated FMA-UE scores were collected during standardized assessment procedures. Guided by clinical labels, 8 critical items were selected from the original 33-item FMA-UE. Fine-grained, action-level scoring models were constructed for the selected items using feature engineering and machine learning techniques, enabling more discriminative and fine-grained item-level scoring. A regression model based on the fine-grained item scores was subsequently developed to predict the FMA-UE total score. The predicted scores showed strong agreement with clinician-rated scores, with an R² of 0.950 and a Spearman correlation coefficient of 0.972.


CONCLUSIONS
A wearable sensor-based fine-grained assessment framework can provide objective, high-resolution evaluation and accurate prediction of upper extremity motor function after stroke. By relying on a minimal set of key assessment items, the framework reduces assessment burden while maintaining clinical consistency with standard FMA-UE scoring."
3179d9179e9011dbe91a2ec5775a7394bdad2572,"{'DOI': '10.1109/JSEN.2024.3509021', 'CorpusId': 274677817}","{'id': 'b210fd3d-11d7-478e-a0aa-7e3d2a4f482d', 'name': 'IEEE Sensors Journal', 'type': 'journal', 'alternate_names': ['IEEE Sens J'], 'issn': '1530-437X', 'url': 'http://ieeexplore.ieee.org/servlet/opac?punumber=7361', 'alternate_urls': ['http://ieee-sensors.org/sensors-journal/', 'https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?puNumber=7361', 'http://www.ieee-sensors.org/journals', 'https://ieee-sensors.org/sensors-journal/']}",Implementing an AI That Automatically Extracts Standardized Functional Patterns From Wearable Sensor Data,2025,48,0,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/JSEN.2024.3509021?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/JSEN.2024.3509021, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Sensors Journal', 'pages': '5644-5653', 'volume': '25'}","{'bibtex': '@Article{Vijayan2025ImplementingAA,\n author = {Vini Vijayan and James Connolly and Joan Condell and Nigel McKelvey and P V Gardiner},\n booktitle = {IEEE Sensors Journal},\n journal = {IEEE Sensors Journal},\n pages = {5644-5653},\n title = {Implementing an AI That Automatically Extracts Standardized Functional Patterns From Wearable Sensor Data},\n volume = {25},\n year = {2025}\n}\n'}","[{'authorId': '1931743542', 'name': 'Vini Vijayan'}, {'authorId': '2313798478', 'name': 'James Connolly'}, {'authorId': '2311063406', 'name': 'Joan Condell'}, {'authorId': '2313799704', 'name': 'Nigel McKelvey'}, {'authorId': '2251854677', 'name': 'P V Gardiner'}]","Standardized functional tests (SFTs) are frequently used to quantify a person’s ability to perform activities of daily living (ADLs) against expected values. SFTs provide valuable information to aid a clinician’s understanding of a patient’s status and direction of improvement. Such information may support clinicians when assessing a wide range of conditions such as musculoskeletal or neurological diseases or age-related frailty. If these SFTs could be performed reliably by patients in their own home without supervision, they could track and help to guide rehabilitation. Wearable devices have the potential to collect reliable data from the wearer when performing SFTs. However, the data generated from sensors for long-term recordings of movement can become very large, making it difficult to manually extract movement information with any level of accuracy. Hence, it is important to evaluate whether it is possible to implement an automated system capable of extracting SFT patterns from long-term sensor data without manual data processing. This article describes an artificial neural network (ANN) system that was trained to extract specific SFTs such as the 30-s chair stand test (CST) (30s-CST) and the 40-m fast-paced walk test (40m-FPWT). The resultant model obtained 99.7% accuracy in 30s-CST pattern recognition, 99.3% accuracy in 40m-FPWT pattern recognition, and 97.3% accuracy in detecting false patterns. The system provided an overall accuracy of 98.76% with supervised clinical trial data. The ambulatory data testing phase obtained an overall accuracy of 90.18%. Specifically, it achieved 92.73% accuracy in detecting 30s-CST patterns and 86.67% accuracy in recognizing 40m-FPWT patterns."
643dae44a8160c80e0382dab3bc133cf31676ebb,"{'DOI': '10.1109/JSEN.2025.3564045', 'CorpusId': 278253471}","{'id': 'b210fd3d-11d7-478e-a0aa-7e3d2a4f482d', 'name': 'IEEE Sensors Journal', 'type': 'journal', 'alternate_names': ['IEEE Sens J'], 'issn': '1530-437X', 'url': 'http://ieeexplore.ieee.org/servlet/opac?punumber=7361', 'alternate_urls': ['http://ieee-sensors.org/sensors-journal/', 'https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?puNumber=7361', 'http://www.ieee-sensors.org/journals', 'https://ieee-sensors.org/sensors-journal/']}",A Lightweight and Explainable Hybrid Deep Learning Model for Wearable Sensor-Based Human Activity Recognition,2025,35,22,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/JSEN.2025.3564045?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/JSEN.2025.3564045, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Sensors Journal', 'pages': '22618-22628', 'volume': '25'}","{'bibtex': '@Article{Tokas2025ALA,\n author = {P. Tokas and Vijay Bhaskar Semwal and Sweta Jain},\n booktitle = {IEEE Sensors Journal},\n journal = {IEEE Sensors Journal},\n pages = {22618-22628},\n title = {A Lightweight and Explainable Hybrid Deep Learning Model for Wearable Sensor-Based Human Activity Recognition},\n volume = {25},\n year = {2025}\n}\n'}","[{'authorId': '32131765', 'name': 'P. Tokas'}, {'authorId': '2408385', 'name': 'Vijay Bhaskar Semwal'}, {'authorId': '2276187155', 'name': 'Sweta Jain'}]","Human activity recognition (HAR) is critical for rehabilitation and clinical monitoring, but robust recognition using wearable sensors (e.g., sEMG or IMU) remains challenging due to signal noise and variability. We propose X-LiteHAR, a lightweight, explainable hybrid deep learning framework for real-time HAR, combining adaptive EEMD for noise-robust signal enhancement and a multihead CNN-LSTM for spatio-temporal feature learning. The optimized framework demonstrates efficient edge deployment through structured pruning and quantization, achieving 70% model size reduction while maintaining competitive performance, with on-device validation on an Android OnePlus 6T smartphone showing 9 ms inference latency. The model was trained and evaluated independently on two distinct datasets: 1) the UCI sEMG dataset (muscle activity signals) and 2) the IMU-only MHealth dataset (motion signals), demonstrating the architecture’s adaptability to different sensor modalities. On the UCI dataset, X-LiteHAR achieved 99.0% accuracy (healthy subjects) and 98.7% (pathological), while on MHealth (IMU-only), it reached 99.2% accuracy. Leveraging explainable AI (XAI), we interpret muscle activation patterns for personalized rehabilitation insights. By unifying signal processing, efficient deep learning, and interpretability, X-LiteHAR advances real-time HAR for clinical and wearable applications."
2fb64df8c21edd2c4c1dd69e694ac7cdf7991236,"{'DOI': '10.1109/ICoICI65217.2025.11254928', 'CorpusId': 283473733}",,AI-Based Healthcare Analytics for Predictive Modeling and Data Integration,2025,22,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICoICI65217.2025.11254928?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICoICI65217.2025.11254928, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI)', 'pages': '1966-1970'}","{'bibtex': '@Conference{Mukherjee2025AIBasedHA,\n author = {Soumyodeep Mukherjee and Hardik Patel and Venkata Satya Krishna Kishore Peddi and Sai Krishna Akula and Vishvanatha Raju and S. Katta},\n booktitle = {2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI)},\n journal = {2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI)},\n pages = {1966-1970},\n title = {AI-Based Healthcare Analytics for Predictive Modeling and Data Integration},\n year = {2025}\n}\n'}","[{'authorId': '2325479852', 'name': 'Soumyodeep Mukherjee'}, {'authorId': '2391759257', 'name': 'Hardik Patel'}, {'authorId': '2395928663', 'name': 'Venkata Satya Krishna Kishore Peddi'}, {'authorId': '2389536691', 'name': 'Sai Krishna Akula'}, {'authorId': '2390638791', 'name': 'Vishvanatha Raju'}, {'authorId': '2352465721', 'name': 'S. Katta'}]","The rapidly increasing volume of healthcare data, including Electronic Health Records (EHR), medical imaging, and sensor data from wearables, presents significant opportunities to improve patient outcomes. This paper introduces an AI-powered healthcare analytics framework that integrates predictive modeling and multisource medical records, enabling early disease detection, personalized treatment, and proactive decision support. The framework leverages advanced machine learning techniques, including ensemble learning and deep learning, to derive actionable insights from both structured and unstructured big data. Key outcomes of the study demonstrate that incorporating clinical, genomic, and real-time sensor data enhances the accuracy and speed of diagnoses, resulting in improved prediction rates and reduced latency in patient care. This AI-assisted system has the potential to revolutionize healthcare delivery by supporting value-based care and personalized patient management."
6f45f743134a1ae72a64255f8ff4a4d8a621fc8f,"{'DOI': '10.37547/ijmsphr/volume06issue12-01', 'CorpusId': 283869248}","{'id': 'c6e5c390-58bc-459c-afdb-dbb7ba1637b5', 'name': 'International Journal of Medical Science and Public Health Research', 'type': 'journal', 'alternate_names': ['Int J Med Sci Public Health Res'], 'issn': '2767-3774'}",Multimodal Fusion of Vocal Biomarkers and Wearable Sensor Data for Ultra-Early Parkinson’s Disease Detection Using Explainable AI,2025,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.37547/ijmsphr/volume06issue12-01?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.37547/ijmsphr/volume06issue12-01, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'International Journal of Medical Science and Public Health Research'},"{'bibtex': '@Article{Jewel2025MultimodalFO,\n author = {Rasel Mahmud Jewel and Tamanna Pervin and Nafis Anjum and Ahmed Ali Linkon and Md Samirul Islam},\n booktitle = {International Journal of Medical Science and Public Health Research},\n journal = {International Journal of Medical Science and Public Health Research},\n title = {Multimodal Fusion of Vocal Biomarkers and Wearable Sensor Data for Ultra-Early Parkinson’s Disease Detection Using Explainable AI},\n year = {2025}\n}\n'}","[{'authorId': '118747921', 'name': 'Rasel Mahmud Jewel'}, {'authorId': '2329679456', 'name': 'Tamanna Pervin'}, {'authorId': '2328316155', 'name': 'Nafis Anjum'}, {'authorId': '2279702453', 'name': 'Ahmed Ali Linkon'}, {'authorId': '2377570833', 'name': 'Md Samirul Islam'}]","Parkinson’s Disease (PD) is a progressive neurodegenerative disorder for which early diagnosis significantly improves patient outcomes. Vocal impairments—such as altered pitch, articulation, rhythm, and voice clarity—emerge in preclinical stages and provide non-invasive biomarkers for early detection. In this study, we present a comprehensive evaluation of machine learning models applied to vocal biomarkers recorded in 2025, incorporating self-supervised speech representations, interpretable deep learning, and domain-adaptive architectures to enhance generalization across languages and populations. Leveraging contemporary datasets spanning multiple languages and at-home recordings, our models—ranging from traditional classifiers like Random Forest and SVM to advanced deep architectures—demonstrate high sensitivity and specificity, with cross-lingual performance exceeding 90% in several cases. We also introduce novel interpretability techniques that highlight the vocal segments most predictive of PD, enabling clinicians to understand underlying neuromuscular impairments. Our findings support the viability of deploying accessible, voice-based diagnostic tools—via smartphones or smart home devices—for early screening, thereby contributing to timely intervention strategies."
447ccd0abaa1bb730039dff8fcd98ed01b43d727,"{'DBLP': 'journals/imwut/ZhangZGJ25', 'DOI': '10.1145/3749462', 'CorpusId': 281122287}","{'id': '4c51a870-1809-485b-8c20-3c1326b3fe16', 'name': 'Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies', 'alternate_names': ['Proc ACM Interact Mob Wearable Ubiquitous Technol'], 'issn': '2474-9567', 'url': 'https://dl.acm.org/journal/imwut', 'alternate_urls': ['http://imwut.acm.org/', 'https://dl.acm.org/pub.cfm?id=J1566']}",KineticsSense: A Multimodal Wearable Sensor Framework for Modeling Lower-Limb Motion Kinetics,2025,70,3,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3749462?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3749462, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies', 'pages': '1 - 35', 'volume': '9'}","{'bibtex': '@Article{Zhang2025KineticsSenseAM,\n author = {Wenbo Zhang and Chenxu Zhang and Yang Gao and Zhanpeng Jin},\n booktitle = {Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies},\n journal = {Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies},\n pages = {1 - 35},\n title = {KineticsSense: A Multimodal Wearable Sensor Framework for Modeling Lower-Limb Motion Kinetics},\n volume = {9},\n year = {2025}\n}\n'}","[{'authorId': '2332063962', 'name': 'Wenbo Zhang'}, {'authorId': '2379029502', 'name': 'Chenxu Zhang'}, {'authorId': '2256636239', 'name': 'Yang Gao'}, {'authorId': '2152844062', 'name': 'Zhanpeng Jin'}]","Current human motion analysis primarily emphasizes kinematics, often neglecting underlying biomechanical factors such as muscle activation and force generation. This restricts a comprehensive understanding of movement mechanics, particularly in rehabilitation and sports science. To bridge this gap, we propose KineticsSense, a multimodal framework integrating inertial measurement units (IMUs) and plantar pressure data to predict lower-limb electromyography (EMG) signals, capturing the kinetics of human motion. By leveraging the complementary strengths of IMU-derived kinematic features and pressure-based ground reaction force estimations, KineticsSense provides a richer biomechanical representation beyond conventional kinematic analyses. Through extensive experiments covering a diverse range of lower-limb activities --- including walking, running, squats, and jumps --- we demonstrate the robustness and adaptability of KineticsSense in accurately estimating muscle activation patterns. Our results further indicate that the system generalizes well across individuals with varying physical attributes, highlighting its potential for real-world applications. Furthermore, case studies in rehabilitation assessment and athletic performance analysis showcase the practical value of our approach in monitoring neuromuscular function and optimizing movement strategies. By bridging kinematics and biomechanics, this work enhances understanding of human motion dynamics and lays a foundation for advances in rehabilitation, sports science, and human-computer interaction."
