paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
83e2b5d62657cb380f6c6e629cff4a94b29d9965,"{'DBLP': 'conf/etra/ZhuWHDHW25', 'DOI': '10.1145/3715669.3723106', 'CorpusId': 278822966}","{'id': '5a293750-d4be-46f7-8b59-6c44f361ec57', 'name': 'Eye Tracking Research & Application', 'type': 'conference', 'alternate_names': ['Eye Track Res  Appl', 'ETRA'], 'url': 'http://etra.cs.uta.fi/'}",MSNet: Multimodal Self-attention Network for Depression Detection via Fusion of Eye Tracking and EEG,2025.0,38,2,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3715669.3723106?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3715669.3723106, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Proceedings of the 2025 Symposium on Eye Tracking Research and Applications'},"{'bibtex': '@Article{Zhu2025MSNetMS,\n author = {Feiyu Zhu and Bingbing Wu and Yongsheng Huo and Ruochen Dang and Bingliang Hu and Quan Wang},\n booktitle = {Eye Tracking Research & Application},\n journal = {Proceedings of the 2025 Symposium on Eye Tracking Research and Applications},\n title = {MSNet: Multimodal Self-attention Network for Depression Detection via Fusion of Eye Tracking and EEG},\n year = {2025}\n}\n'}","[{'authorId': '2256491921', 'name': 'Feiyu Zhu'}, {'authorId': '2363188362', 'name': 'Bingbing Wu'}, {'authorId': '2362923146', 'name': 'Yongsheng Huo'}, {'authorId': '2164433326', 'name': 'Ruochen Dang'}, {'authorId': '2164568810', 'name': 'Bingliang Hu'}, {'authorId': '2250717034', 'name': 'Quan Wang'}]","Amidst the multimodality of biomedical data and the escalating prevalence of depression, multimodal biosignal fusion stands out as a crucial trend in depression research. Our study introduces a novel Multimodal Self-Attention Network (MSNet), which integrates the multi-head attention mechanism simultaneously to eye tracking and EEG data, enhancing depression detection through long-range dependencies modeling ability. MSNet automatically extracts attention distribution from eye tracking data, utilizing multi-head attention mechanism with location coding to capture attention bias globally. For EEG data, MSNet incorporates residual structures into graph attention network to transmit neighbor aggregation features through multi-head attention mechanism, facilitating dynamic weighted distribution between nodes and neighbors to enhance feature consistency. With a classification accuracy of 93.62%, MSNet showed a significant enhancement compared to using singular eye tracking or EEG data, showcasing the benefits of combining both modalities in depression detection and the effectiveness of the self-attention mechanism in processing physiological signals."
f232312d922c7e926b2514b87b4a71d52404aa07,"{'DOI': '10.1101/2025.02.19.639184', 'CorpusId': 276648131}","{'id': '027ffd21-ebb0-4af8-baf5-911124292fd0', 'name': 'bioRxiv', 'type': 'journal', 'url': 'http://biorxiv.org/'}",Head engagement during visuomotor tracking is determined by postural demands and aging,2025.0,47,0,"{'url': 'https://doi.org/10.1101/2025.02.19.639184', 'status': 'GREEN', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1101/2025.02.19.639184?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1101/2025.02.19.639184, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'bioRxiv'},"{'bibtex': '@Article{Georgiadis2025HeadED,\n author = {Petros Georgiadis and V. Hatzitaki and K. Fiehler and Dimitris Voudouris},\n booktitle = {bioRxiv},\n journal = {bioRxiv},\n title = {Head engagement during visuomotor tracking is determined by postural demands and aging},\n year = {2025}\n}\n'}","[{'authorId': '2316857473', 'name': 'Petros Georgiadis'}, {'authorId': '3451849', 'name': 'V. Hatzitaki'}, {'authorId': '2305897562', 'name': 'K. Fiehler'}, {'authorId': '2381657251', 'name': 'Dimitris Voudouris'}]","Vision is important for various tasks, from visually tracking moving objects to maintaining balance. People obtain visual information through eye movements performed either alone or in combination with head movements. Even when isolated eye movements can accommodate the amplitude of the desired gaze shift, humans still perform head movements, as they provide additional sensory signals that can be integrated with retinal input resulting in improved gaze estimates. However, head movements also create mechanical torques and attenuate vestibular processing that could disturb balance. We, therefore, here examined whether head engagement is determined by postural requirements when performing a visual tracking task. Young participants visually tracked a target moving horizontally along different amplitudes, while they were seated, standing on a firm and an unstable surface. Our results showed stronger head engagement when standing than sitting, but no systematic differences were found between firm and unstable surfaces. To further explore the interplay between head engagement and postural demands, we conducted a second experiment where young and older participants performed a similar task, but now they were either allowed to move their head or instructed to limit their head movements. Both tracking accuracy and postural sway increased when engaging the head. When asked to limit head movements, both age groups engaged their head minimally, but head movements were more pronounced in more challenging postures. When allowed to move their head naturally, younger participants engaged their head more when standing than sitting, but older adults reduced their head movements with more demanding postures. We suggest that head movements in younger adults facilitate visual tracking, while limited head movements in older adults preserve balance."
b2f41bcfb017c6c5878884055c0fd62346ad1d3e,"{'DOI': '10.15587/2706-5448.2025.334165', 'CorpusId': 281049628}",,Blink reading monitoring system using magnetic properties of ferrofluid,2025.0,11,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.15587/2706-5448.2025.334165?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.15587/2706-5448.2025.334165, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Technology audit and production reserves'},"{'bibtex': '@Article{Mormitko2025BlinkRM,\n author = {Oleksiy Mormitko},\n booktitle = {Technology audit and production reserves},\n journal = {Technology audit and production reserves},\n title = {Blink reading monitoring system using magnetic properties of ferrofluid},\n year = {2025}\n}\n'}","[{'authorId': '2378575642', 'name': 'Oleksiy Mormitko'}]","The object of the study is an eye movement monitoring system based on a combination of a permanent magnet, ferrofluid and glasses with built-in inductive sensors. In the current conditions of development of wearable technologies and biomedical devices, such a system has the potential for application in medicine, in particular for monitoring eye movements in real time, which can be useful for diagnostics and rehabilitation.
The problem considered in the study is to create a compact, comfortable and accurate system for non-contact monitoring of the frequency and nature of blinking. The main attention is paid to optimizing the design of the eyeglass frame with built-in coils, as well as the development of algorithms for collecting and processing induced signals, which allows for effective detection of eye movements without discomfort for the user.
The essence of the results obtained is the development of a wearable system that uses ferrofluid applied to false eyelashes and magnetic coils built into a 3D-printed eyeglass frame. Experimental tests demonstrated the system’s ability to clearly distinguish between slow and fast blinking based on induced signals obtained using an Arduino Uno board with a reading frequency of 200 Hz. It was found that the amplitude of the signals during fast blinking is significantly higher, which ensures reliable tracking of eye movements in different modes.
The results are explained by the innovative combination of a contactless magnetic sensor with a liquid form of ferrofluid, which ensures flexibility, comfort and invisibility of the system. Coils built into the frame allow for amplification of the induction signal, reducing the impact of noise and improving data quality. The use of a 3D model of the frame optimized for coil fixation ensures design reliability and repeatability of the results.
The innovation of the approach lies in the combination of advanced materials and 3D printing technologies with traditional electronic solutions to create a compact and convenient eye movement monitoring device. The proposed system is a promising tool for further application in medical, rehabilitation and interface technologies, where precise control of blinking is critically important."
b7c1d567e0b0f0b4a51f566489c13eb828645abe,"{'DOI': '10.23917/kls.v10i2.13587', 'CorpusId': 287310672}","{'id': '44ac3857-f70c-419e-9961-04bf760d871f', 'name': 'Kajian Linguistik dan Sastra', 'alternate_names': ['Kaji Linguistik dan Sastra'], 'issn': '2541-2558', 'alternate_issns': ['0852-9604'], 'url': 'http://journals.ums.ac.id/index.php/kls', 'alternate_urls': ['http://journals.ums.ac.id/index.php/KLS/']}",Quantum Translation: A New Heuristic for Cognitive Uncertainty in the AI Era,2025.0,12,1,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.23917/kls.v10i2.13587?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.23917/kls.v10i2.13587, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Kajian Linguistik dan Sastra'},"{'bibtex': '@Article{Ihsan2025QuantumTA,\n author = {Nurul Ihsan and Jiehan Ashara Halim and Claudya Fritsca and Refika Andriani},\n booktitle = {Kajian Linguistik dan Sastra},\n journal = {Kajian Linguistik dan Sastra},\n title = {Quantum Translation: A New Heuristic for Cognitive Uncertainty in the AI Era},\n year = {2025}\n}\n'}","[{'authorId': '2343299421', 'name': 'Nurul Ihsan'}, {'authorId': '2428751214', 'name': 'Jiehan Ashara Halim'}, {'authorId': '2428740567', 'name': 'Claudya Fritsca'}, {'authorId': '73428790', 'name': 'Refika Andriani'}]","This study reframes uncertainty in translator cognition by proposing a Quantum Translation (QT)heuristic superposition, collapse, and entanglement as a probabilistic lexicon for process analysis. Usinga PRISMA-consistent systematic literature review, we screened records from Scopus, Crossref, andGoogle Scholar (2020–2025) via database queries and citation chasing, yielding 22 empirical studies.Data extraction targeted instruments used in primary studies (e.g., eye tracking, key logging, screencapture) and findings were synthesized thematically. Across the corpus, uncertainty is acknowledged ascentral yet treated implicitly as ambiguity, difficulty, or risk. Product-focused evaluation routinelyobscures process-level signals such as cognitive load, recursive drafting, and attentional control. QTaddresses this gap by modeling (i) superposition as coexisting candidate renderings, (ii) collapse ascontext-triggered resolution constrained by skopos, register, and pragmatics, and (iii) entanglement ascross-level dependencies linking lexical, syntactic, and discourse decisions. The review also chartsconvergences between human process traces and computational predictors (e.g., surprisal), informing
risk-aware human AI workflows. We contribute a testable heuristic and implications: integrate QT-informed diagnostics in translator education; report AI use transparently; and adopt evaluation models
that combine process and product. Together, these steps strengthen accountability and professional preparedness for human AI collaboration."
e4716f0ca0e69605ceda5b3fc8794ce5c6de06b0,"{'DOI': '10.4103/NRR.NRR-D-25-00217', 'CorpusId': 281100685, 'PubMed': '40903968'}","{'id': '18b45ae1-2727-4c68-afd1-a9c56e174c48', 'name': 'Neural Regeneration Research', 'type': 'journal', 'alternate_names': ['Neural Regen Res'], 'issn': '1673-5374', 'url': 'http://eng.med.wanfangdata.com.cn/JournalDetail.aspx?qid=zgsjzsyj-e', 'alternate_urls': ['http://www.nrronline.org/']}","Technical system of electroencephalography-based brain-computer interface: Advances, applications, and challenges.",2025.0,0,2,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.4103/NRR.NRR-D-25-00217?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.4103/NRR.NRR-D-25-00217, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Neural regeneration research'},"{'bibtex': '@Article{Yu2025TechnicalSO,\n author = {Hui Yu and Qiyue Mu and Chong Liu and Shuo Wang and Jinglai Sun},\n booktitle = {Neural Regeneration Research},\n journal = {Neural regeneration research},\n title = {Technical system of electroencephalography-based brain-computer interface: Advances, applications, and challenges.},\n year = {2025}\n}\n'}","[{'authorId': '2241980317', 'name': 'Hui Yu'}, {'authorId': '2351912841', 'name': 'Qiyue Mu'}, {'authorId': '2184757578', 'name': 'Chong Liu'}, {'authorId': '2259997560', 'name': 'Shuo Wang'}, {'authorId': '9253877', 'name': 'Jinglai Sun'}]","ABSTRACT
Electroencephalography-based brain-computer interfaces have revolutionized the integration of neural signals with technological systems, offering transformative solutions across neuroscience, biomedical engineering, and clinical practice. This review systematically analyzes advancements in electroencephalography-based brain-computer interface architectures, emphasizing four pillars, namely signal acquisition, paradigm design, decoding algorithms, and diverse applications. The aim is to bridge the gap between technology and application and guide future research. In signal acquisition, noninvasive systems using wet, dry, and semi-dry electrodes are more comfortable and gentler on the skin compared to traditional methods. However, ensuring stable signal quality over long periods of time remains a challenge. Minimally invasive approaches, such as microneedle arrays and endovascular probes, achieve near-invasive signal fidelity without major surgery. Paradigm design explores task-specific neural encoders. Although motor imagery paradigms are widely used in rehabilitation, they require weeks of user training. Steady-state visually evoked potential and P300 speller paradigms enable rapid calibration, but cause visual and cognitive fatigue. Advanced systems currently combine electroencephalography with electromyography or eye-tracking to better handle real-world tasks. Decoding algorithms have advanced through Riemannian geometry for improved noise filtering, deep learning architectures for automated spatiotemporal feature extraction, and transfer learning frameworks to minimize cross-subject calibration. However, challenges remain in managing inconsistent electroencephalography, reducing processing demands, and ensuring compatibility across different electroencephalography devices. Clinical trials reveal a predominant focus on stroke rehabilitation, while emerging frontiers include astronaut neuromonitoring in space exploration. Challenges include improving signal accuracy, minimizing movement interference, addressing ethical data concerns, and ensuring real-world use. Future advancements focus on biocompatible nanomaterials, adaptive algorithms, and multimodal integration, positioning electroencephalography-based brain-computer interfaces as pivotal tools in next-generation neurotechnology."
0bcb12d7d8426abe1c259895adb3634704eb4aff,{'CorpusId': 11809558},,Biomedical Signal Processing and Control Development of a Hybrid Mental Spelling System Combining Ssvep-based Brain–computer Interface and Webcam-based Eye Tracking,,59,32,"{'url': '', 'status': None, 'license': None}",,"{'bibtex': '@Misc{None,\n author = {Jeong-Hwan Lim and Jun-Hak Lee and Han-Jeong Hwang and Dong Hwan Kim and Chang-Hwan Im},\n title = {Biomedical Signal Processing and Control Development of a Hybrid Mental Spelling System Combining Ssvep-based Brain–computer Interface and Webcam-based Eye Tracking}\n}\n'}","[{'authorId': '2454615', 'name': 'Jeong-Hwan Lim'}, {'authorId': '2108454950', 'name': 'Jun-Hak Lee'}, {'authorId': '2257166568', 'name': 'Han-Jeong Hwang'}, {'authorId': '2155184722', 'name': 'Dong Hwan Kim'}, {'authorId': '2357281347', 'name': 'Chang-Hwan Im'}]",
d516745e46c0b339bd2897f05b58af4c78af855b,"{'DOI': '10.1109/USBEREIT61901.2024.10583975', 'CorpusId': 271091360}",,Classification with PPMd Compression in Few-Shot Learning: The Case of Eye-Tracking Dyslexia Detection,2024.0,13,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/USBEREIT61901.2024.10583975?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/USBEREIT61901.2024.10583975, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '2024 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)', 'pages': '204-207'}","{'bibtex': '@Conference{Abrosimova2024ClassificationWP,\n author = {Marina Abrosimova and Anna Rebak and Roman Novikov and Nikita S. Markov},\n booktitle = {2024 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)},\n journal = {2024 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)},\n pages = {204-207},\n title = {Classification with PPMd Compression in Few-Shot Learning: The Case of Eye-Tracking Dyslexia Detection},\n year = {2024}\n}\n'}","[{'authorId': '2310631325', 'name': 'Marina Abrosimova'}, {'authorId': '2310625786', 'name': 'Anna Rebak'}, {'authorId': '2249562386', 'name': 'Roman Novikov'}, {'authorId': '2310631925', 'name': 'Nikita S. Markov'}]","Eye-tracking is an evolving field of medical technology that provides valuable information about cognitive processes and visual patterns of an individual. Dyslexia detection is known to be one of the most reliable applications of eye-tracking. However, eye-tracking requires an active screening process, meaning that available data is limited in scope. Therefore, there is interest in methods that can use a limited amount of data for classification, i.e. few-shot learning. In this paper, we applied a compression-based text classification method with PPMd algorithm to the task of dyslexia detection. We propose a signal processing and quantization procedure that enables classification with compression for eye-tracking data. By representing the signal as interpolated series of differences between gaze shifts, the entire dataset can be classified with 86–92.2% accuracy using one to ten shots for learning. The magnitude spectrum representation of the same signal can be used to achieve 95.1% of accuracy in more conservative 10-fold setting, close to the best published results for the dataset. Our results highlight the potential of classification with compression in data-constrained problems and further demonstrate the suitability of the method for quantized biomedical data."
79d8822ff8d71f4e1d38c816fad6d1acf6383ba2,"{'ArXiv': '2602.23862', 'DBLP': 'journals/corr/abs-2602-23862', 'DOI': '10.48550/arXiv.2602.23862', 'CorpusId': 286171499}","{'id': '1901e811-ee72-4b20-8f7e-de08cd395a10', 'name': 'arXiv.org', 'alternate_names': ['ArXiv'], 'issn': '2331-8422', 'url': 'https://arxiv.org'}","Human-Centered Multimodal Fusion for Sexism Detection in Memes with Eye-Tracking, Heart Rate, and EEG Signals",2026.0,45,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2602.23862, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'ArXiv', 'volume': 'abs/2602.23862'}","{'bibtex': '@Article{Árcos2026HumanCenteredMF,\n author = {Iván Árcos and P. Rosso and E. Gomis-Vicent},\n booktitle = {arXiv.org},\n journal = {ArXiv},\n title = {Human-Centered Multimodal Fusion for Sexism Detection in Memes with Eye-Tracking, Heart Rate, and EEG Signals},\n volume = {abs/2602.23862},\n year = {2026}\n}\n'}","[{'authorId': '2323367786', 'name': 'Iván Árcos'}, {'authorId': '2288767527', 'name': 'P. Rosso'}, {'authorId': '1416751217', 'name': 'E. Gomis-Vicent'}]","The automated detection of sexism in memes is a challenging task due to multimodal ambiguity, cultural nuance, and the use of humor to provide plausible deniability. Content-only models often fail to capture the complexity of human perception. To address this limitation, we introduce and validate a human-centered paradigm that augments standard content features with physiological data. We created a novel resource by recording Eye-Tracking (ET), Heart Rate (HR), and Electroencephalography (EEG) from 16 subjects (8 per experiment) while they viewed 3984 memes from the EXIST 2025 dataset. Our statistical analysis reveals significant physiological differences in how subjects process sexist versus non-sexist content. Sexist memes were associated with higher cognitive load, reflected in increased fixation counts and longer reaction times, as well as differences in EEG spectral power across the Alpha, Beta, and Gamma bands, suggesting more demanding neural processing. Building on these findings, we propose a multimodal fusion model that integrates physiological signals with enriched textual-visual features derived from a Vision-Language Model (VLM). Our final model achieves an AUC of 0.794 in binary sexism detection, a statistically significant 3.4% improvement over a strong VLM-based baseline. The fusion is particularly effective for nuanced cases, boosting the F1-score for the most challenging fine-grained category, Misogyny and Non-Sexual Violence, by 26.3%. These results show that physiological responses provide an objective signal of perception that enhances the accuracy and human-awareness of automated systems for countering online sexism."
67c9bda14676483d8e87feeb48bb5797ee9ec2b2,"{'DBLP': 'conf/hsi/KocejkoPGW17', 'MAG': '2744781069', 'DOI': '10.1109/HSI.2017.8004987', 'CorpusId': 13687584}","{'id': '9585edc6-6f54-4869-b257-036b7e7f7580', 'name': 'International Conference on Human System Interaction', 'type': 'conference', 'alternate_names': ['Human.Society@Internet', 'Int Conf Hum Syst Interact', 'International Conference on Human System Interactions', 'HSI']}",Using wearable device for biomedical signal acquisition and processing,2017.0,17,1,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/HSI.2017.8004987?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/HSI.2017.8004987, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': '2017 10th International Conference on Human System Interactions (HSI)', 'pages': '6-11'}","{'bibtex': '@Article{Kocejko2017UsingWD,\n author = {Tomasz Kocejko and A. Poliński and Anna Giczewska and J. Wtorek},\n booktitle = {International Conference on Human System Interaction},\n journal = {2017 10th International Conference on Human System Interactions (HSI)},\n pages = {6-11},\n title = {Using wearable device for biomedical signal acquisition and processing},\n year = {2017}\n}\n'}","[{'authorId': '3170249', 'name': 'Tomasz Kocejko'}, {'authorId': '2492208', 'name': 'A. Poliński'}, {'authorId': '2298159583', 'name': 'Anna Giczewska'}, {'authorId': '3019263', 'name': 'J. Wtorek'}]",
70d7e0bc0b0a95de74afb7d1ede62ab100cd5aab,{'CorpusId': 12326604},,Biomedical Signal Processing and Control,,0,21,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at http://isiarticles.com/bundles/Article/pre/pdf/53028.pdf, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",,"{'bibtex': '@Misc{None,\n author = {M. Toivanen},\n title = {Biomedical Signal Processing and Control}\n}\n'}","[{'authorId': '34845040', 'name': 'M. Toivanen'}]",
