paperId,externalIds,publicationVenue,title,year,referenceCount,citationCount,openAccessPdf,journal,citationStyles,authors,abstract
68ff94fd4c6c93b2da78adcda53ff49ded9f8b2a,"{'MAG': '2902719825', 'DBLP': 'journals/pami/YangSLX20', 'DOI': '10.1109/TPAMI.2018.2883941', 'CorpusId': 54560071, 'PubMed': '30507495'}","{'id': '25248f80-fe99-48e5-9b8e-9baef3b8e23b', 'name': 'IEEE Transactions on Pattern Analysis and Machine Intelligence', 'type': 'journal', 'alternate_names': ['IEEE Trans Pattern Anal Mach Intell'], 'issn': '0162-8828', 'url': 'http://www.computer.org/tpami/', 'alternate_urls': ['http://www.computer.org/portal/web/tpami', 'http://ieeexplore.ieee.org/servlet/opac?punumber=34']}",ADMM-CSNet: A Deep Learning Approach for Image Compressive Sensing,2020,67,803,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/TPAMI.2018.2883941?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/TPAMI.2018.2883941, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Transactions on Pattern Analysis and Machine Intelligence', 'pages': '521-538', 'volume': '42'}","{'bibtex': '@Article{Yang2020ADMMCSNetAD,\n author = {Yan Yang and Jian Sun and Huibin Li and Zongben Xu},\n booktitle = {IEEE Transactions on Pattern Analysis and Machine Intelligence},\n journal = {IEEE Transactions on Pattern Analysis and Machine Intelligence},\n pages = {521-538},\n title = {ADMM-CSNet: A Deep Learning Approach for Image Compressive Sensing},\n volume = {42},\n year = {2020}\n}\n'}","[{'authorId': '2108850237', 'name': 'Yan Yang'}, {'authorId': '2152146009', 'name': 'Jian Sun'}, {'authorId': '1680740', 'name': 'Huibin Li'}, {'authorId': '98220533', 'name': 'Zongben Xu'}]","Compressive sensing (CS) is an effective technique for reconstructing image from a small amount of sampled data. It has been widely applied in medical imaging, remote sensing, image compression, etc. In this paper, we propose two versions of a novel deep learning architecture, dubbed as ADMM-CSNet, by combining the traditional model-based CS method and data-driven deep learning method for image reconstruction from sparsely sampled measurements. We first consider a generalized CS model for image reconstruction with undetermined regularizations in undetermined transform domains, and then two efficient solvers using Alternating Direction Method of Multipliers (ADMM) algorithm for optimizing the model are proposed. We further unroll and generalize the ADMM algorithm to be two deep architectures, in which all parameters of the CS model and the ADMM algorithm are discriminatively learned by end-to-end training. For both applications of fast CS complex-valued MR imaging and CS imaging of real-valued natural images, the proposed ADMM-CSNet achieved favorable reconstruction accuracy in fast computational speed compared with the traditional and the other deep learning methods."
f060a690ef088cb390c7222eab19f9cbca5afa3c,"{'PubMedCentral': '10525988', 'DOI': '10.3390/bioengineering10091012', 'CorpusId': 261309745, 'PubMed': '37760114'}","{'id': '103075b0-1b66-4b69-9c47-f54875634fba', 'name': 'Bioengineering', 'type': 'journal', 'issn': '2306-5354', 'url': 'http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-354376', 'alternate_urls': ['http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:ch:bel-354376', 'https://www.mdpi.com/journal/bioengineering']}",Emerging Trends in Fast MRI Using Deep-Learning Reconstruction on Undersampled k-Space Data: A Systematic Review,2023,226,48,"{'url': 'https://www.mdpi.com/2306-5354/10/9/1012/pdf?version=1693206935', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC10525988, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Bioengineering', 'volume': '10'}","{'bibtex': '@Article{Singh2023EmergingTI,\n author = {Dilbag Singh and Anmol Monga and H. D. de Moura and Xiaoxia Zhang and M. Zibetti and R. Regatte},\n booktitle = {Bioengineering},\n journal = {Bioengineering},\n title = {Emerging Trends in Fast MRI Using Deep-Learning Reconstruction on Undersampled k-Space Data: A Systematic Review},\n volume = {10},\n year = {2023}\n}\n'}","[{'authorId': '2148290271', 'name': 'Dilbag Singh'}, {'authorId': '1649058704', 'name': 'Anmol Monga'}, {'authorId': '30708366', 'name': 'H. D. de Moura'}, {'authorId': '2209203019', 'name': 'Xiaoxia Zhang'}, {'authorId': '145682118', 'name': 'M. Zibetti'}, {'authorId': '2089502', 'name': 'R. Regatte'}]","Magnetic Resonance Imaging (MRI) is an essential medical imaging modality that provides excellent soft-tissue contrast and high-resolution images of the human body, allowing us to understand detailed information on morphology, structural integrity, and physiologic processes. However, MRI exams usually require lengthy acquisition times. Methods such as parallel MRI and Compressive Sensing (CS) have significantly reduced the MRI acquisition time by acquiring less data through undersampling k-space. The state-of-the-art of fast MRI has recently been redefined by integrating Deep Learning (DL) models with these undersampled approaches. This Systematic Literature Review (SLR) comprehensively analyzes deep MRI reconstruction models, emphasizing the key elements of recently proposed methods and highlighting their strengths and weaknesses. This SLR involves searching and selecting relevant studies from various databases, including Web of Science and Scopus, followed by a rigorous screening and data extraction process using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. It focuses on various techniques, such as residual learning, image representation using encoders and decoders, data-consistency layers, unrolled networks, learned activations, attention modules, plug-and-play priors, diffusion models, and Bayesian methods. This SLR also discusses the use of loss functions and training with adversarial networks to enhance deep MRI reconstruction methods. Moreover, we explore various MRI reconstruction applications, including non-Cartesian reconstruction, super-resolution, dynamic MRI, joint learning of reconstruction with coil sensitivity and sampling, quantitative mapping, and MR fingerprinting. This paper also addresses research questions, provides insights for future directions, and emphasizes robust generalization and artifact handling. Therefore, this SLR serves as a valuable resource for advancing fast MRI, guiding research and development efforts of MRI reconstruction for better image quality and faster data acquisition."
93521460c3104465dcd86ffed60cf1844f58eac7,"{'MAG': '3014281177', 'DBLP': 'journals/cem/ShrivastwaPCSCG20', 'DOI': '10.1109/MCE.2019.2959059', 'CorpusId': 215722655}","{'id': '67d1868a-c565-4c74-b02a-7a17039f8f0a', 'name': 'IEEE Consumer Electronics Magazine', 'type': 'journal', 'alternate_names': ['IEEE Consum Electron Mag'], 'issn': '2162-2248', 'url': 'https://ieeexplore.ieee.org/servlet/opac?punumber=5962380', 'alternate_urls': ['https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=5962380']}",A Brain–Computer Interface Framework Based on Compressive Sensing and Deep Learning,2020,19,19,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/MCE.2019.2959059?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/MCE.2019.2959059, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Consumer Electronics Magazine', 'pages': '90-96', 'volume': '9'}","{'bibtex': '@Article{Shrivastwa2020ABI,\n author = {R. Shrivastwa and Vikramkumar Pudi and Duo Chen and R. So and A. Chattopadhyay and Cuntai Guan},\n booktitle = {IEEE Consumer Electronics Magazine},\n journal = {IEEE Consumer Electronics Magazine},\n pages = {90-96},\n title = {A Brain–Computer Interface Framework Based on Compressive Sensing and Deep Learning},\n volume = {9},\n year = {2020}\n}\n'}","[{'authorId': '9435103', 'name': 'R. Shrivastwa'}, {'authorId': '31378573', 'name': 'Vikramkumar Pudi'}, {'authorId': '2111809482', 'name': 'Duo Chen'}, {'authorId': '144559689', 'name': 'R. So'}, {'authorId': '144990091', 'name': 'A. Chattopadhyay'}, {'authorId': '145836900', 'name': 'Cuntai Guan'}]","Compression of brain–computer interface (BCI) signals is significant to reduce transmission bandwidth to cloud/remote servers and to minimize storage cost. Precise reconstruction of the compressed signal is also crucial as these data are further used for spike detection and/or classification. The conventional compressive sensing (CS) techniques to reconstruct the compressed BCI signals are computationally expensive. There are several existing techniques for CS reconstruction, including block-sparse Bayesian learning and block-based CS, which also work to replace a reconstruction methodology of CS in medical imaging with deep learning (DL) techniques. DL can be helpful in reconstructing compressed BCI signals, including Electroencephalography (EEG) and Electrocorticography (ECoG). Pertinent to that, in this work, a convolutional neural network (CNN) based reconstruction framework has been proposed to reconstruct spike signals that has been highly compressed using the CS technique. An accuracy of 91.62% has been achieved over signals compressed at 90% compression rate, when compared with original signals using a cross-correlation technique."
35cdf28e9e910659451c8a2e4eebcaa398fbc21e,"{'MAG': '3027808525', 'DBLP': 'journals/mia/ZhangLZZWLCL20', 'DOI': '10.1016/j.media.2020.101717', 'CorpusId': 219315675, 'PubMed': '32492584'}",,High-dimensional embedding network derived prior for compressive sensing MRI reconstruction,2020,58,23,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.media.2020.101717?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.media.2020.101717, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'Medical image analysis', 'pages': '\n          101717\n        ', 'volume': '64'}","{'bibtex': '@Article{Zhang2020HighdimensionalEN,\n author = {Minghui Zhang and Mengting Li and Jinjie Zhou and Yanjie Zhu and Shanshan Wang and D. Liang and Yang Chen and Qiegen Liu},\n booktitle = {Medical Image Anal.},\n journal = {Medical image analysis},\n pages = {\n          101717\n        },\n title = {High-dimensional embedding network derived prior for compressive sensing MRI reconstruction},\n volume = {64},\n year = {2020}\n}\n'}","[{'authorId': '51025599', 'name': 'Minghui Zhang'}, {'authorId': '2352055063', 'name': 'Mengting Li'}, {'authorId': '153221698', 'name': 'Jinjie Zhou'}, {'authorId': '145350977', 'name': 'Yanjie Zhu'}, {'authorId': '47673594', 'name': 'Shanshan Wang'}, {'authorId': '145768550', 'name': 'D. Liang'}, {'authorId': '2144353425', 'name': 'Yang Chen'}, {'authorId': '145182621', 'name': 'Qiegen Liu'}]","Although recent deep learning methodology has shown promising performance in fast imaging, the network needs to be retrained for specific sampling patterns and ratios. Therefore, how to explore the network as a general prior and leverage it into the observation constraint flexibly is urgent. In this work, we present a multi-channel enhanced Deep Mean-Shift Prior (MEDMSP) to address the highly under-sampled magnetic resonance imaging reconstruction problem. By extending the naive DMSP via integration of multi-model aggregation and multi-channel network learning, a high-dimensional embedding network derived prior is formed. Then, we apply the learned prior to single-channel image reconstruction via variable augmentation technique. The resulting model is tackled by proximal gradient descent and alternative iteration. Experimental results under various sampling trajectories and acceleration factors consistently demonstrated the superiority of the proposed prior."
3f3aafce6c41107b26d7d3e9a2175360bb8deab0,"{'MAG': '3091193055', 'DBLP': 'conf/miccai/YangWYSX20', 'DOI': '10.1007/978-3-030-59713-9_19', 'CorpusId': 222135649}","{'id': '61a709e3-2060-423c-8de5-ffd3885aa31c', 'name': 'International Conference on Medical Image Computing and Computer-Assisted Intervention', 'type': 'conference', 'alternate_names': ['Medical Image Computing and Computer-Assisted Intervention', 'MICCAI', 'Med Image Comput Comput Interv', 'Int Conf Med Image Comput Comput Interv'], 'url': 'http://www.miccai.org/'}",Model-Driven Deep Attention Network for Ultra-fast Compressive Sensing MRI Guided by Cross-contrast MR Image,2020,30,23,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1007/978-3-030-59713-9_19?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1007/978-3-030-59713-9_19, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",{'pages': '188-198'},"{'bibtex': '@Article{Yang2020ModelDrivenDA,\n author = {Yan Yang and Na Wang and Heran Yang and Jian Sun and Zongben Xu},\n booktitle = {International Conference on Medical Image Computing and Computer-Assisted Intervention},\n pages = {188-198},\n title = {Model-Driven Deep Attention Network for Ultra-fast Compressive Sensing MRI Guided by Cross-contrast MR Image},\n year = {2020}\n}\n'}","[{'authorId': '2108850237', 'name': 'Yan Yang'}, {'authorId': '2167297467', 'name': 'Na Wang'}, {'authorId': '2428379', 'name': 'Heran Yang'}, {'authorId': None, 'name': 'Jian Sun'}, {'authorId': '98220533', 'name': 'Zongben Xu'}]",
cd0242f2db378e77fe11860cdbae00f37cadc7e6,"{'MAG': '3186634001', 'DOI': '10.1017/9781108377447', 'CorpusId': 237684858}",,"Compressive Imaging: Structure, Sampling, Learning",2021,464,67,"{'url': 'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1E7F89CC42A4C4BFB4F934F4DC2353E7/9781108421614c1_1-26.pdf/introduction.pdf', 'status': 'BRONZE', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1017/9781108377447?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1017/9781108377447, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': '', 'volume': ''}","{'bibtex': '@Inproceedings{Adcock2021CompressiveIS,\n author = {B. Adcock and A. Hansen},\n title = {Compressive Imaging: Structure, Sampling, Learning},\n year = {2021}\n}\n'}","[{'authorId': '1680184', 'name': 'B. Adcock'}, {'authorId': '145920634', 'name': 'A. Hansen'}]","Accurate, robust and fast image reconstruction is a critical task in many scientific, industrial and medical applications. Over the last decade, image reconstruction has been revolutionized by the rise of compressive imaging. It has fundamentally changed the way modern image reconstruction is performed. This in-depth treatment of the subject commences with a practical introduction to compressive imaging, supplemented with examples and downloadable code, intended for readers without extensive background in the subject. Next, it introduces core topics in compressive imaging – including compressed sensing, wavelets and optimization – in a concise yet rigorous way, before providing a detailed treatment of the mathematics of compressive imaging. The final part is devoted to recent trends in compressive imaging: deep learning and neural networks. With an eye to the next decade of imaging research, and using both empirical and mathematical insights, it examines the potential benefits and the pitfalls of these latest approaches."
b0a0f492873d02a17eb0f261cdf0a6f31fda87de,"{'DOI': '10.1109/trpms.2024.3471677', 'CorpusId': 273040225}","{'id': '7d879f82-aa47-4734-8907-c54660fc2dc0', 'name': 'IEEE Transactions on Radiation and Plasma Medical Sciences', 'alternate_names': ['IEEE Trans Radiat Plasma Med Sci'], 'issn': '2469-7303', 'url': 'http://ieeexplore.ieee.org/servlet/opac?punumber=7433213', 'alternate_urls': ['https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7433213&reload=true']}",PrideDiff: Physics-Regularized Generalized Diffusion Model for CT Reconstruction,2025,0,10,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/trpms.2024.3471677?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/trpms.2024.3471677, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE Transactions on Radiation and Plasma Medical Sciences', 'pages': '157-168', 'volume': '9'}","{'bibtex': '@Article{Lu2025PrideDiffPG,\n author = {Zexin Lu and Qi Gao and Tao Wang and Ziyuan Yang and Zhiwen Wang and Hui Yu and Hu Chen and Jiliu Zhou and Hongming Shan and Yi Zhang},\n booktitle = {IEEE Transactions on Radiation and Plasma Medical Sciences},\n journal = {IEEE Transactions on Radiation and Plasma Medical Sciences},\n pages = {157-168},\n title = {PrideDiff: Physics-Regularized Generalized Diffusion Model for CT Reconstruction},\n volume = {9},\n year = {2025}\n}\n'}","[{'authorId': '2110086883', 'name': 'Zexin Lu'}, {'authorId': '2267305425', 'name': 'Qi Gao'}, {'authorId': '2257008421', 'name': 'Tao Wang'}, {'authorId': '2254317449', 'name': 'Ziyuan Yang'}, {'authorId': '2108289013', 'name': 'Zhiwen Wang'}, {'authorId': '2219968737', 'name': 'Hui Yu'}, {'authorId': '50688815', 'name': 'Hu Chen'}, {'authorId': '2249708912', 'name': 'Jiliu Zhou'}, {'authorId': '3449207', 'name': 'Hongming Shan'}, {'authorId': '2254526801', 'name': 'Yi Zhang'}]","Achieving a lower radiation dose and a faster imaging speed is a pivotal objective of computed tomography (CT) reconstruction. However, these often come at the cost of compromised reconstruction quality. With the advent of deep learning, numerous CT reconstruction methods rooted in this field have significantly improved the reconstruction performance. Recently, diffusion models have further enhanced training stability and imaging quality for CT. However, many of these methods only focus on CT image domain features, ignoring the intrinsic physical information of the imaging process. Although compressive sensing-based iterative reconstruction algorithms utilize physical prior information, their intricate iterative process poses challenges in training, subsequently influencing their efficiency. Motivated by these observations, we introduce a novel physics-regularized generalized diffusion model for CT reconstruction (PrideDiff). On the one hand, our method further improves the quality of reconstructed images by fusing physics-regularized iterative reconstruction methods with diffusion models. On the other hand, we propose a prior extraction module embedded with temporal features, which effectively improves the performance of the iteration process. Extensive experimental results demonstrate that PrideDiff outperforms several state-of-the-art methods in low-dose and sparse-view CT reconstruction tasks on different datasets, with faster reconstruction speed. We further discuss the effectiveness of relevant components in PrideDiff and validate the stability of the iterative reconstruction process, followed by detailed analysis of computational cost and inference time."
d2071690de482b778bc6fd781dbc1ef1f605bb71,"{'MAG': '2952902495', 'PubMedCentral': '6019143', 'DBLP': 'journals/tmi/ChenZCZZSLLZW18', 'DOI': '10.1109/TMI.2018.2805692', 'CorpusId': 46752523, 'PubMed': '29870363'}","{'id': 'e0cda45d-3074-4ac0-80b8-e5250df00b89', 'name': 'IEEE Transactions on Medical Imaging', 'type': 'journal', 'alternate_names': ['IEEE Trans Med Imaging'], 'issn': '0278-0062', 'url': 'http://ieeexplore.ieee.org/servlet/opac?punumber=42', 'alternate_urls': ['https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=42']}",LEARN: Learned Experts’ Assessment-Based Reconstruction Network for Sparse-Data CT,2017,73,398,"{'url': 'https://europepmc.org/articles/pmc6019143?pdf=render', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC6019143, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","{'name': 'IEEE transactions on medical imaging', 'pages': '1333 - 1347', 'volume': '37'}","{'bibtex': '@Article{Chen2017LEARNLE,\n author = {Hu Chen and Yi Zhang and Yunjin Chen and Junfeng Zhang and Wei-hua Zhang and Huaiqiang Sun and Yang Lv and Peixi Liao and Jiliu Zhou and Ge Wang},\n booktitle = {IEEE Transactions on Medical Imaging},\n journal = {IEEE transactions on medical imaging},\n pages = {1333 - 1347},\n title = {LEARN: Learned Experts’ Assessment-Based Reconstruction Network for Sparse-Data CT},\n volume = {37},\n year = {2017}\n}\n'}","[{'authorId': '50688815', 'name': 'Hu Chen'}, {'authorId': '40491343', 'name': 'Yi Zhang'}, {'authorId': '39773686', 'name': 'Yunjin Chen'}, {'authorId': '2108100072', 'name': 'Junfeng Zhang'}, {'authorId': '2108075403', 'name': 'Wei-hua Zhang'}, {'authorId': '4527613', 'name': 'Huaiqiang Sun'}, {'authorId': '2075453066', 'name': 'Yang Lv'}, {'authorId': '7521691', 'name': 'Peixi Liao'}, {'authorId': '1723371', 'name': 'Jiliu Zhou'}, {'authorId': '2108295460', 'name': 'Ge Wang'}]","Compressive sensing (CS) has proved effective for tomographic reconstruction from sparsely collected data or under-sampled measurements, which are practically important for few-view computed tomography (CT), tomosynthesis, interior tomography, and so on. To perform sparse-data CT, the iterative reconstruction commonly uses regularizers in the CS framework. Currently, how to choose the parameters adaptively for regularization is a major open problem. In this paper, inspired by the idea of machine learning especially deep learning, we unfold the state-of-the-art “fields of experts”-based iterative reconstruction scheme up to a number of iterations for data-driven training, construct a learned experts’ assessment-based reconstruction network (LEARN) for sparse-data CT, and demonstrate the feasibility and merits of our LEARN network. The experimental results with our proposed LEARN network produces a superior performance with the well-known Mayo Clinic low-dose challenge data set relative to the several state-of-the-art methods, in terms of artifact reduction, feature preservation, and computational speed. This is consistent to our insight that because all the regularization terms and parameters used in the iterative reconstruction are now learned from the training data, our LEARN network utilizes application-oriented knowledge more effectively and recovers underlying images more favorably than competing algorithms. Also, the number of layers in the LEARN network is only 50, reducing the computational complexity of typical iterative algorithms by orders of magnitude."
82247dc6599543509d4bd17df6f928afc2541283,"{'DOI': '10.1002/mp.16478', 'CorpusId': 258843122, 'PubMed': '37219814'}","{'id': '4e90b61b-3ae1-4b4c-9348-d67a3825e703', 'name': 'Medical Physics (Lancaster)', 'type': 'journal', 'alternate_names': ['Med Phys (lancaster', 'Medical Physics', 'Med Phys'], 'issn': '0094-2405', 'url': 'http://scitation.aip.org/content/aapm/journal/medphys', 'alternate_urls': ['https://www.medphys.org/']}",Super-resolved q-space learning of diffusion MRI.,2023,18,7,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1002/mp.16478?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1002/mp.16478, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",{'name': 'Medical physics'},"{'bibtex': '@Article{Chen2023SuperresolvedQL,\n author = {Zan Chen and Chen-Yen Peng and Yongqiang Li and Qingrun Zeng and Yuanjing Feng},\n booktitle = {Medical Physics (Lancaster)},\n journal = {Medical physics},\n title = {Super-resolved q-space learning of diffusion MRI.},\n year = {2023}\n}\n'}","[{'authorId': '2136447922', 'name': 'Zan Chen'}, {'authorId': '152975540', 'name': 'Chen-Yen Peng'}, {'authorId': '2128153133', 'name': 'Yongqiang Li'}, {'authorId': '8670274', 'name': 'Qingrun Zeng'}, {'authorId': '3156839', 'name': 'Yuanjing Feng'}]","BACKGROUND
Diffusion magnetic resonance imaging (dMRI) provides a powerful tool to non-invasively investigate neural structures in the living human brain. Nevertheless, its reconstruction performance on neural structures relies on the number of diffusion gradients in the q-space. High-angular (HA) dMRI requires a long scan time, limiting its use in clinical practice, whereas directly reducing the number of diffusion gradients would lead to the underestimation of neural structures.


PURPOSE
We propose a deep compressive sensing-based q-space learning (DCS-qL) approach to estimate HA dMRI from low-angular dMRI.


METHODS
In DCS-qL, we design the deep network architecture by unfolding the proximal gradient descent procedure that addresses the compressive sense problem. In addition, we exploit a lifting scheme to design a network structure with reversible transform properties. For implementation, we apply a self-supervised regression to enhance the signal-to-noise ratio of diffusion data. Then, we utilize a semantic information-guided patch-based mapping strategy for feature extraction, which introduces multiple network branches to handle patches with different tissue labels.


RESULTS
Experimental results show that the proposed approach can yield a promising performance on the tasks of reconstructed HA dMRI images, microstructural indices of neurite orientation dispersion and density imaging, fiber orientation distribution, and fiber bundle estimation.


CONCLUSIONS
The proposed method achieves more accurate neural structures than competing approaches."
21826c76fda28a177f45eff244d65532bd589905,"{'MAG': '3186565160', 'DOI': '10.22024/UNIKENT/01.02.89414', 'CorpusId': 237783793}",,Computational Methods for Image Acquisition and Analysis with Applications in Optical Coherence Tomography,2021,0,0,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.22024/UNIKENT/01.02.89414?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.22024/UNIKENT/01.02.89414, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}","{'name': '', 'volume': ''}","{'bibtex': '@Inproceedings{Bai2021ComputationalMF,\n author = {Fangliang Bai},\n title = {Computational Methods for Image Acquisition and Analysis with Applications in Optical Coherence Tomography},\n year = {2021}\n}\n'}","[{'authorId': '26437723', 'name': 'Fangliang Bai'}]",
